BULK CARRIER,Date,HANDYSIZE,SMAX/ULTRA,PANAMAX,CAPESIZE,
Week 1,1 Jan 2008,"38,000","56,000","70,000","100,000",Week 1|2008-01-01
Week 2,8 Jan 2008,"38,000","56,000","70,000","100,000",Week 2|2008-01-08
Week 3,15 Jan 2008,"38,000","56,000","70,000","100,000",Week 3|2008-01-15
Week 4,22 Jan 2008,"37,000","55,000","60,250","115,000",Week 4|2008-01-22
Week 5,29 Jan 2008,"35,000","50,000","60,000","120,000",Week 5|2008-01-29
Week 6,5 Feb 2008,"34,000","49,500","62,000","122,500",Week 6|2008-02-05
Week 7,12 Feb 2008,"34,500","52,500","64,000","135,000",Week 7|2008-02-12
Week 8,19 Feb 2008,"34,500","58,500","72,000","145,500",Week 8|2008-02-19
Week 9,26 Feb 2008,"37,500","60,000","74,500","154,500",Week 9|2008-02-26
Week 10,4 Mar 2008,"36,000","60,500","73,500","154,500",Week 10|2008-03-04
Week 11,11 Mar 2008,"36,000","61,000","77,500","155,500",Week 11|2008-03-11
Week 12,18 Mar 2008,"37,500","63,000","76,500","145,500",Week 12|2008-03-18
Week 13,25 Mar 2008,"37,500","63,000","76,500","145,500",Week 13|2008-03-25
Week 14,1 Apr 2008,"37,000","61,000","72,000","144,500",Week 14|2008-04-01
Week 15,8 Apr 2008,"37,000","59,000","72,500","144,500",Week 15|2008-04-08
Week 16,15 Apr 2008,"37,000","58,000","73,000","152,500",Week 16|2008-04-15
Week 17,22 Apr 2008,"40,500","59,500","76,000","157,500",Week 17|2008-04-22
Week 18,29 Apr 2008,"40,500","60,500","78,750","159,500",Week 18|2008-04-29
Week 19,6 May 2008,"41,500","62,500","81,000","175,500",Week 19|2008-05-06
Week 20,13 May 2008,"41,500","64,500","83,000","175,500",Week 20|2008-05-13
Week 21,20 May 2008,"42,500","67,000","84,000","190,000",Week 21|2008-05-20
Week 22,27 May 2008,"42,500","68,500","86,500","188,000",Week 22|2008-05-27
Week 23,3 Jun 2008,"42,500","68,500","86,500","188,000",Week 23|2008-06-03
Week 24,10 Jun 2008,"42,500","68,500","86,500","188,000",Week 24|2008-06-10
Week 25,17 Jun 2008,"42,500","68,500","86,500","188,000",Week 25|2008-06-17
Week 26,24 Jun 2008,"44,000","65,500","81,000","167,500",Week 26|2008-06-24
Week 27,1 Jul 2008,"44,000","65,000","81,000","162,500",Week 27|2008-07-01
Week 28,8 Jul 2008,"42,000","64,000","77,000","155,500",Week 28|2008-07-08
Week 29,15 Jul 2008,"41,500","64,000","84,000","178,000",Week 29|2008-07-15
Week 30,22 Jul 2008,"41,000","63,000","81,000","178,000",Week 30|2008-07-22
Week 31,29 Jul 2008,"40,500","60,000","77,000","170,000",Week 31|2008-07-29
Week 32,5 Aug 2008,"39,000","58,000","75,000","170,000",Week 32|2008-08-05
Week 33,12 Aug 2008,"39,000","58,000","75,000","170,000",Week 33|2008-08-12
Week 34,19 Aug 2008,"33,000","52,000","67,500","168,000",Week 34|2008-08-19
Week 35,26 Aug 2008,"33,000","53,500","65,500","165,000",Week 35|2008-08-26
Week 36,2 Sep 2008,"33,000","53,500","62,500","160,000",Week 36|2008-09-02
Week 37,9 Sep 2008,"33,000","51,500","61,500","160,000",Week 37|2008-09-09
Week 16,23 Apr 2009,"8,500","12,000","12,000","21,500",Week 16|2009-04-23
Week 17,30 Apr 2009,"9,000","11,500","14,000","23,500",Week 17|2009-04-30
Week 18,7 May 2009,"9,000","12,500","13,500","21,500",Week 18|2009-05-07
Week 19,14 May 2009,"9,000","13,500","14,500","23,000",Week 19|2009-05-14
Week 20,21 May 2009,"9,000","13,000","14,500","26,500",Week 20|2009-05-21
Week 21,28 May 2009,"9,000","13,500","15,500","28,000",Week 21|2009-05-28
Week 22,4 Jun 2009,"9,000","15,500","18,500","32,000",Week 22|2009-06-04
Week 23,11 Jun 2009,"9,000","15,500","18,500","32,000",Week 23|2009-06-11
Week 24,18 Jun 2009,"9,000","15,500","18,500","32,000",Week 24|2009-06-18
Week 25,25 Jun 2009,"9,000","15,500","18,500","32,000",Week 25|2009-06-25
Week 26,2 Jul 2009,"9,000","15,500","18,500","32,000",Week 26|2009-07-02
Week 27,9 Jul 2009,"10,000","16,500","19,000","42,500",Week 27|2009-07-09
Week 28,16 Jul 2009,"10,000","16,500","20,000","47,500",Week 28|2009-07-16
Week 29,23 Jul 2009,"10,000","16,500","20,000","45,000",Week 29|2009-07-23
Week 30,30 Jul 2009,"10,000","18,000","20,500","43,000",Week 30|2009-07-30
Week 31,6 Aug 2009,"10,000","18,000","20,500","43,000",Week 31|2009-08-06
Week 32,13 Aug 2009,"10,000","17,500","20,000","41,000",Week 32|2009-08-13
Week 33,20 Aug 2009,"10,000","15,500","19,500","41,000",Week 33|2009-08-20
Week 34,27 Aug 2009,"10,000","15,500","19,500","40,000",Week 34|2009-08-27
Week 35,3 Sep 2009,"10,000","15,500","18,000","33,000",Week 35|2009-09-03
Week 36,10 Sep 2009,"10,250","15,500","18,500","33,000",Week 36|2009-09-10
Week 37,17 Sep 2009,"10,250","15,500","18,500","33,000",Week 37|2009-09-17
Week 38,24 Sep 2009,"10,500","16,500","18,000","32,000",Week 38|2009-09-24
Week 39,1 Oct 2009,"10,500","16,500","18,000","27,000",Week 39|2009-10-01
Week 40,8 Oct 2009,"10,250","16,500","18,000","26,000",Week 40|2009-10-08
Week 41,15 Oct 2009,"10,500","17,000","18,000","30,000",Week 41|2009-10-15
Week 42,22 Oct 2009,"10,500","16,500","17,500","30,000",Week 42|2009-10-22
Week 43,29 Oct 2009,"10,500","16,500","17,500","30,000",Week 43|2009-10-29
Week 44,5 Nov 2009,"10,500","16,500","17,500","30,000",Week 44|2009-11-05
Week 45,12 Nov 2009,"10,500","16,500","17,500","30,000",Week 45|2009-11-12
Week 46,19 Nov 2009,"10,500","16,500","17,500","30,000",Week 46|2009-11-19
Week 47,26 Nov 2009,"13,000","24,000","32,500","45,000",Week 47|2009-11-26
Week 48,3 Dec 2009,"12,000","22,500","30,000","42,500",Week 48|2009-12-03
Week 49,10 Dec 2009,"12,000","22,500","30,000","42,500",Week 49|2009-12-10
Week 50,17 Dec 2009,"12,000","22,500","30,000","42,500",Week 50|2009-12-17
Week 51,24 Dec 2009,"12,500","22,500","25,000","35,000",Week 51|2009-12-24
Week 1,1 Jan 2010,"15,500","22,500","31,000","35,000",Week 1|2010-01-01
Week 2,8 Jan 2010,"14,500","24,000","30,000","40,000",Week 2|2010-01-08
Week 3,15 Jan 2010,"15,500","23,000","28,000","40,000",Week 3|2010-01-15
Week 4,22 Jan 2010,"13,500","22,500","26,500","35,500",Week 4|2010-01-22
Week 5,29 Jan 2010,"14,500","21,000","26,000","35,000",Week 5|2010-01-29
Week 6,5 Feb 2010,"14,500","21,000","26,000","35,000",Week 6|2010-02-05
Week 7,12 Feb 2010,"14,500","21,000","26,000","35,000",Week 7|2010-02-12
Week 8,19 Feb 2010,"17,000","27,000","33,000","40,000",Week 8|2010-02-19
Week 9,26 Feb 2010,"17,000","26,000","29,000","41,000",Week 9|2010-02-26
