Size,1Year,1Yrchange,2Years,2Yrchange,3Years,3Yrchange,5 Years,5Yrchange,SORT
Handymax,31000,15,25000,4,23500,9,21000,5,1
MR IMO3,37500,21,29000,7,26500,2,25500,6,2
LR1,45000,19,37500,13,35000,13,30000,5,3
LR2,73500,23,65000,39,50000,13,42500,12,4
Aframax,75000,3,65000,36,50000,15,42500,14,5
Suezmax,132500,21,100000,15,70000,21,52500,10,6
VLCC,175000,29,130000,31,100000,15,72500,17,7
