Size,1Year,1Yrchange,2Years,2Yrchange,3Years,3Yrchange,5 Years,5Yrchange,SORT
Handymax,26500,0,24000,0,21500,0,20000,0,1
MR IMO3,29500,0,27000,0,26000,0,24000,0,2
LR1,36500,0,32500,0,30500,0,28500,0,3
LR2,56500,0,39500,0,43500,0,37500,0,4
Aframax,57500,0,41500,0,42500,0,36500,0,5
Suezmax,105000,14,85000,18,55000,3,47500,0,6
VLCC,125000,0,90000,0,85000,0,60000,0,7
