Size,1Year,1Yrchange,2Years,2Yrchange,3Years,3Yrchange,5 Years,5Yrchange,SORT
Handymax,24000,-4,21000,0,21500,0,20000,5,1
MR IMO3,28000,0,27000,11,25000,0,24000,8,2
LR1,36500,1,32500,0,30500,0,28500,0,3
LR2,56500,-2,39500,0,43500,8,37500,0,4
Aframax,57500,0,41500,0,42000,7,36500,0,5
Suezmax,82500,3,51500,0,48500,2,45000,11,6
VLCC,125000,4,90000,0,77500,-2,59500,2,7
