Size,1Year,1Yrchange,2Years,2Yrchange,3Years,3Yrchange,5 Years,5Yrchange,SORT
Handymax,25000,0,21000,0,21500,0,19000,0,1
MR IMO3,27000,0,24000,0,25000,0,22000,0,2
LR1,36000,-7,32500,0,30500,0,28500,0,3
LR2,55500,2,39500,0,40000,0,37500,0,4
Aframax,57500,0,41500,7,39000,0,36500,0,5
Suezmax,75000,0,51500,3,47500,0,40000,0,6
VLCC,107500,0,80000,6,75000,0,55000,0,7
