Size,1Year,1Yrchange,2Years,2Yrchange,3Years,3Yrchange,5 Years,5Yrchange,SORT
Handymax,27500,4,24000,0,21500,0,20000,0,1
MR IMO3,32500,9,27500,2,26000,0,24000,0,2
LR1,38500,5,35000,7,30500,0,28500,0,3
LR2,70000,19,39500,0,43500,0,39000,4,4
Aframax,72500,21,41500,0,45000,6,41000,11,5
Suezmax,112500,7,85000,18,55000,3,47500,0,6
VLCC,155000,19,115000,22,100000,15,60000,0,7
