Rate Date,Premium/Discount
01-05-2023,0.0
02-05-2023,0.0
03-05-2023,6.0275
04-05-2023,0.15
05-05-2023,0.28
08-05-2023,0.12
09-05-2023,0.93
10-05-2023,0.03
11-05-2023,0.4
12-05-2023,0.05
15-05-2023,0.2
16-05-2023,0.52
17-05-2023,0.73
18-05-2023,-1.0
19-05-2023,-0.2
22-05-2023,-0.06
23-05-2023,0.14
24-05-2023,0.21
25-05-2023,0.31
26-05-2023,0.15
30-05-2023,0.07
31-05-2023,-0.78
01-06-2023,1.1
02-06-2023,-0.04
05-06-2023,0.62
06-06-2023,0.6
07-06-2023,-0.73
08-06-2023,0.55
09-06-2023,-0.93
12-06-2023,-0.48
13-06-2023,0.53
14-06-2023,0.39
15-06-2023,-0.98
16-06-2023,0.17
20-06-2023,1.48
21-06-2023,1.3
22-06-2023,1.46
23-06-2023,4.83
26-06-2023,1.27
27-06-2023,1.27
28-06-2023,0.47
29-06-2023,-0.13
30-06-2023,0.24
03-07-2023,0.48
05-07-2023,0.94
06-07-2023,0.71
07-07-2023,0.67
10-07-2023,0.49
11-07-2023,0.44
12-07-2023,0.43
13-07-2023,0.37
14-07-2023,0.36
17-07-2023,0.16
18-07-2023,0.43
19-07-2023,0.61
20-07-2023,0.43
21-07-2023,0.26
24-07-2023,0.43
25-07-2023,0.43
26-07-2023,0.01
27-07-2023,0.44
28-07-2023,0.44
31-07-2023,0.45
01-08-2023,-0.03
02-08-2023,0.84
03-08-2023,0.99
04-08-2023,0.4
07-08-2023,0.16
08-08-2023,0.41
09-08-2023,0.44
10-08-2023,0.68
11-08-2023,0.44
14-08-2023,0.41
15-08-2023,0.66
16-08-2023,-0.77
17-08-2023,0.21
18-08-2023,0.43
21-08-2023,0.67
22-08-2023,0.89
23-08-2023,0.67
24-08-2023,0.88
25-08-2023,0.61
28-08-2023,0.77
29-08-2023,0.78
30-08-2023,0.72
31-08-2023,0.98
01-09-2023,0.92
05-09-2023,0.74
06-09-2023,0.57
07-09-2023,0.46
08-09-2023,0.43
11-09-2023,0.71
12-09-2023,0.79
13-09-2023,0.45
14-09-2023,0.79
15-09-2023,-0.37
18-09-2023,-0.06
19-09-2023,-0.0
20-09-2023,-0.5
21-09-2023,0.8
22-09-2023,0.25
25-09-2023,0.43
26-09-2023,0.82
27-09-2023,0.85
28-09-2023,0.85
29-09-2023,0.8
02-10-2023,0.62
03-10-2023,0.68
04-10-2023,0.67
05-10-2023,2.14
06-10-2023,0.43
09-10-2023,0.48
10-10-2023,0.4
11-10-2023,1.02
12-10-2023,0.13
13-10-2023,0.19
16-10-2023,0.12
17-10-2023,0.34
18-10-2023,0.17
19-10-2023,0.72
20-10-2023,1.14
23-10-2023,0.63
24-10-2023,1.19
25-10-2023,-0.18
26-10-2023,-0.29
27-10-2023,-0.02
30-10-2023,-0.62
31-10-2023,-0.49
01-11-2023,0.08
02-11-2023,0.52
03-11-2023,-0.12
06-11-2023,0.64
07-11-2023,0.56
08-11-2023,0.24
09-11-2023,0.55
10-11-2023,0.28
13-11-2023,0.52
14-11-2023,-0.34
15-11-2023,1.51
16-11-2023,-0.24
17-11-2023,0.31
20-11-2023,0.17
21-11-2023,-0.7
22-11-2023,0.38
24-11-2023,0.28
27-11-2023,0.8
28-11-2023,0.29
29-11-2023,0.28
30-11-2023,0.86
01-12-2023,-3.96
04-12-2023,0.29
05-12-2023,-0.09
06-12-2023,0.9
07-12-2023,0.95
08-12-2023,0.83
11-12-2023,0.61
12-12-2023,0.81
13-12-2023,0.46
14-12-2023,-0.0
15-12-2023,-0.0
18-12-2023,0.26
19-12-2023,0.39
20-12-2023,2.41
21-12-2023,0.3
22-12-2023,0.3
26-12-2023,0.72
27-12-2023,0.21
28-12-2023,-0.06
29-12-2023,0.69
02-01-2024,0.31
03-01-2024,0.53
04-01-2024,0.3
05-01-2024,1.1
08-01-2024,3.98
09-01-2024,0.44
10-01-2024,-0.44
11-01-2024,0.99
12-01-2024,0.58
16-01-2024,0.76
17-01-2024,0.57
18-01-2024,0.62
19-01-2024,0.56
22-01-2024,0.44
23-01-2024,0.93
24-01-2024,0.7
25-01-2024,-0.34
26-01-2024,0.51
29-01-2024,0.4
30-01-2024,1.3
31-01-2024,1.13
01-02-2024,0.47
02-02-2024,-0.82
05-02-2024,-2.5
06-02-2024,-1.54
07-02-2024,-1.02
08-02-2024,-1.3
09-02-2024,-0.49
12-02-2024,-0.0
13-02-2024,0.08
14-02-2024,0.29
15-02-2024,-0.21
16-02-2024,0.03
20-02-2024,-0.83
21-02-2024,-1.14
22-02-2024,-0.68
23-02-2024,-0.53
26-02-2024,-1.26
27-02-2024,-0.5
28-02-2024,0.49
29-02-2024,-3.08
01-03-2024,-1.54
04-03-2024,-0.1
05-03-2024,-1.04
06-03-2024,-0.61
07-03-2024,-0.92
08-03-2024,-1.78
11-03-2024,-1.11
12-03-2024,-0.69
13-03-2024,0.32
14-03-2024,1.57
15-03-2024,0.59
18-03-2024,-1.61
19-03-2024,-0.82
20-03-2024,0.09
21-03-2024,-0.93
22-03-2024,-1.1
25-03-2024,-0.99
26-03-2024,0.78
27-03-2024,-0.76
28-03-2024,-0.11
01-04-2024,0.75
02-04-2024,-1.65
03-04-2024,-0.47
04-04-2024,-1.69
05-04-2024,-0.68
08-04-2024,0.53
09-04-2024,-0.94
10-04-2024,-0.74
11-04-2024,-0.83
12-04-2024,-0.5
15-04-2024,-1.17
16-04-2024,-0.05
17-04-2024,0.08
18-04-2024,0.12
19-04-2024,-0.03
22-04-2024,0.58
23-04-2024,-0.99
24-04-2024,-0.35
25-04-2024,-0.22
26-04-2024,-1.25
29-04-2024,0.05
30-04-2024,0.05
01-05-2024,-0.44
02-05-2024,1.31
03-05-2024,1.13
06-05-2024,0.97
07-05-2024,0.75
08-05-2024,0.05
09-05-2024,1.83
10-05-2024,0.17
13-05-2024,0.11
14-05-2024,0.57
15-05-2024,0.37
16-05-2024,0.71
17-05-2024,0.06
20-05-2024,-0.05
21-05-2024,1.32
22-05-2024,1.48
23-05-2024,-0.71
24-05-2024,-0.38
28-05-2024,-0.16
29-05-2024,-1.01
30-05-2024,1.21
31-05-2024,-0.78
03-06-2024,1.85
04-06-2024,-0.14
05-06-2024,0.52
06-06-2024,1.02
07-06-2024,-0.12
10-06-2024,0.06
11-06-2024,-0.0
12-06-2024,0.86
13-06-2024,0.18
14-06-2024,0.06
17-06-2024,-0.97
18-06-2024,0.09
20-06-2024,-0.3
21-06-2024,0.18
24-06-2024,0.15
25-06-2024,0.48
26-06-2024,0.42
27-06-2024,0.06
28-06-2024,0.6
01-07-2024,0.03
02-07-2024,-0.12
03-07-2024,0.44
05-07-2024,0.11
08-07-2024,-0.5
09-07-2024,0.09
10-07-2024,0.03
11-07-2024,0.03
12-07-2024,0.03
15-07-2024,0.76
16-07-2024,0.06
17-07-2024,0.8
18-07-2024,0.38
19-07-2024,0.67
22-07-2024,1.02
23-07-2024,0.58
24-07-2024,0.1
25-07-2024,0.02
26-07-2024,0.06
29-07-2024,0.77
30-07-2024,0.75
31-07-2024,-0.59
01-08-2024,0.75
02-08-2024,-0.17
05-08-2024,-0.47
06-08-2024,0.87
07-08-2024,0.67
08-08-2024,0.48
09-08-2024,0.69
12-08-2024,-0.33
13-08-2024,-0.65
14-08-2024,0.47
15-08-2024,-1.03
16-08-2024,0.13
19-08-2024,-0.42
20-08-2024,0.07
21-08-2024,0.06
22-08-2024,0.07
23-08-2024,0.07
26-08-2024,-0.2
27-08-2024,-0.17
28-08-2024,0.79
29-08-2024,-0.25
30-08-2024,0.27
03-09-2024,0.08
04-09-2024,0.1
05-09-2024,-0.54
06-09-2024,0.1
09-09-2024,-0.33
10-09-2024,0.1
11-09-2024,0.03
12-09-2024,-0.33
13-09-2024,0.3
16-09-2024,-0.41
17-09-2024,0.48
18-09-2024,-0.23
19-09-2024,-0.0
20-09-2024,0.64
23-09-2024,0.48
24-09-2024,0.64
25-09-2024,0.72
26-09-2024,0.86
27-09-2024,-0.48
30-09-2024,-0.64
01-10-2024,1.23
02-10-2024,-0.03
03-10-2024,-0.03
04-10-2024,-0.09
07-10-2024,-0.12
08-10-2024,-0.19
09-10-2024,0.1
10-10-2024,-0.52
11-10-2024,-0.0
14-10-2024,0.16
15-10-2024,-4.51
16-10-2024,0.07
17-10-2024,-0.59
18-10-2024,1.6
21-10-2024,0.19
22-10-2024,0.1
23-10-2024,-1.5
24-10-2024,0.14
25-10-2024,0.75
28-10-2024,0.11
29-10-2024,-0.07
30-10-2024,-0.08
31-10-2024,-0.08
01-11-2024,-0.17
04-11-2024,0.08
05-11-2024,0.78
06-11-2024,0.17
07-11-2024,0.05
08-11-2024,0.6
11-11-2024,0.75
12-11-2024,-0.0
13-11-2024,-0.0
14-11-2024,0.08
15-11-2024,0.12
18-11-2024,-0.0
19-11-2024,-0.58
20-11-2024,-0.0
21-11-2024,-0.57
22-11-2024,0.08
25-11-2024,-0.61
26-11-2024,0.09
27-11-2024,0.09
29-11-2024,0.22
02-12-2024,0.0
03-12-2024,-0.0
04-12-2024,0.63
05-12-2024,0.37
06-12-2024,0.09
09-12-2024,-0.24
10-12-2024,0.05
11-12-2024,0.37
12-12-2024,3.48
13-12-2024,-0.6
16-12-2024,-0.39
17-12-2024,-1.97
18-12-2024,0.1
19-12-2024,-0.1
20-12-2024,-0.25
23-12-2024,0.79
24-12-2024,-0.6
26-12-2024,0.0
27-12-2024,-0.1
30-12-2024,-0.55
31-12-2024,-0.63
02-01-2025,2.97
03-01-2025,0.43
06-01-2025,0.44
07-01-2025,1.52
08-01-2025,0.64
09-01-2025,0.6777
10-01-2025,6.98
13-01-2025,3.78
14-01-2025,2.63
15-01-2025,1.22
16-01-2025,-0.66
17-01-2025,0.14
21-01-2025,-2.55
22-01-2025,-0.65
23-01-2025,-0.47
24-01-2025,-0.23
27-01-2025,0.0
28-01-2025,0.44
29-01-2025,0.04
30-01-2025,-0.72
31-01-2025,-1.16
03-02-2025,0.49
04-02-2025,1.78
05-02-2025,-0.67
06-02-2025,-0.25
07-02-2025,-0.0
10-02-2025,-0.04
11-02-2025,-1.01
12-02-2025,-0.4
13-02-2025,-0.04
14-02-2025,2.59
18-02-2025,0.04
19-02-2025,-0.17
20-02-2025,-0.14
21-02-2025,0.5
24-02-2025,0.13
25-02-2025,1.02
26-02-2025,-0.05
27-02-2025,0.0
28-02-2025,0.56
03-03-2025,0.56
04-03-2025,0.47
05-03-2025,0.38
06-03-2025,1.11
07-03-2025,0.38
10-03-2025,0.97
11-03-2025,-0.0
12-03-2025,0.96
13-03-2025,-0.13
14-03-2025,0.28
17-03-2025,0.99
18-03-2025,0.23
19-03-2025,-0.55
20-03-2025,-0.24
21-03-2025,-0.69
24-03-2025,1.08
25-03-2025,-0.19
26-03-2025,-0.6
27-03-2025,-0.13
28-03-2025,-0.14
31-03-2025,0.18
01-04-2025,0.0
02-04-2025,-0.87
03-04-2025,0.05
04-04-2025,-0.0
07-04-2025,-0.05
08-04-2025,-0.93
09-04-2025,0.05
10-04-2025,0.0
11-04-2025,-0.14
14-04-2025,-0.0
15-04-2025,-0.0
16-04-2025,5.43
17-04-2025,0.04
21-04-2025,-0.0
22-04-2025,-0.18
23-04-2025,0.3
24-04-2025,-0.09
25-04-2025,-0.04
28-04-2025,1.09
29-04-2025,0.0
30-04-2025,-0.26
01-05-2025,0.17
02-05-2025,0.42
05-05-2025,-0.17
06-05-2025,-0.04
07-05-2025,-0.04
08-05-2025,-1.07
09-05-2025,-0.93
12-05-2025,0.04
13-05-2025,-0.0
14-05-2025,0.04
15-05-2025,-0.37
16-05-2025,-0.01
19-05-2025,-0.0
20-05-2025,1.35
21-05-2025,0.52
22-05-2025,0.0
23-05-2025,1.34
27-05-2025,-3.95
28-05-2025,-0.09
29-05-2025,-0.38
30-05-2025,0.56
02-06-2025,0.98
03-06-2025,-1.0
04-06-2025,0.0
05-06-2025,-0.44
06-06-2025,-0.05
09-06-2025,-0.39
10-06-2025,0.45
11-06-2025,-0.05
12-06-2025,-0.92
13-06-2025,0.05
16-06-2025,2.09
17-06-2025,2.64
18-06-2025,0.97
20-06-2025,0.08
23-06-2025,1.05
24-06-2025,6.95
25-06-2025,-0.09
26-06-2025,0.19
27-06-2025,0.66
30-06-2025,0.14
01-07-2025,-0.08
02-07-2025,-0.23
03-07-2025,0.05
07-07-2025,1.36
08-07-2025,-1.36
09-07-2025,-0.04
10-07-2025,0.81
11-07-2025,-0.79
14-07-2025,-1.13
15-07-2025,0.13
16-07-2025,0.04
17-07-2025,0.86
18-07-2025,0.17
21-07-2025,0.33
22-07-2025,-0.18
23-07-2025,1.82
24-07-2025,-0.14
25-07-2025,0.05
28-07-2025,0.05
29-07-2025,-1.27
30-07-2025,-0.81
31-07-2025,-2.21
01-08-2025,-0.47
04-08-2025,-0.0
05-08-2025,-0.55
06-08-2025,-1.42
07-08-2025,0.04
08-08-2025,-0.04
11-08-2025,-0.26
12-08-2025,-1.14
13-08-2025,-0.89
14-08-2025,-0.04
15-08-2025,-0.43
18-08-2025,-0.35
19-08-2025,1.26
20-08-2025,-1.07
21-08-2025,-0.04
22-08-2025,0.0
25-08-2025,0.04
26-08-2025,0.64
27-08-2025,0.73
28-08-2025,2.27
29-08-2025,-0.86
02-09-2025,-0.12
03-09-2025,0.0
04-09-2025,-1.17
05-09-2025,-1.32
08-09-2025,-0.04
09-09-2025,0.11
10-09-2025,1.77
11-09-2025,-6.4
12-09-2025,-0.57
15-09-2025,-0.07
16-09-2025,-1.41
17-09-2025,-0.46
18-09-2025,0.17
19-09-2025,-0.04
22-09-2025,-0.24
23-09-2025,-0.0
24-09-2025,-0.23
25-09-2025,-0.02
26-09-2025,0.0
29-09-2025,0.88
30-09-2025,0.72
01-10-2025,-2.58
02-10-2025,-0.97
03-10-2025,-1.87
06-10-2025,-0.65
07-10-2025,-1.13
08-10-2025,-1.25
09-10-2025,-0.74
10-10-2025,-1.55
13-10-2025,-0.38
14-10-2025,1.19
15-10-2025,-0.86
16-10-2025,-0.77
17-10-2025,-1.04
20-10-2025,1.17
21-10-2025,0.03
22-10-2025,-0.1
23-10-2025,-3.32
24-10-2025,-2.74
27-10-2025,-1.37
28-10-2025,-1.46
29-10-2025,-0.88
30-10-2025,0.29
31-10-2025,-1.76
03-11-2025,-2.01
04-11-2025,0.0
05-11-2025,-1.5
06-11-2025,-2.5
07-11-2025,-2.04
10-11-2025,-0.26
11-11-2025,-1.62
12-11-2025,-0.1
13-11-2025,-1.37
14-11-2025,-2.09
17-11-2025,-1.99
18-11-2025,-1.82
19-11-2025,0.95
20-11-2025,0.54
21-11-2025,-1.35
24-11-2025,-0.01
25-11-2025,3.41
26-11-2025,2.24
28-11-2025,1.21
01-12-2025,3.84
02-12-2025,0.44
03-12-2025,0.67
04-12-2025,-2.27
05-12-2025,-0.15
08-12-2025,-1.55
09-12-2025,-2.23
10-12-2025,-1.39
11-12-2025,-2.24
12-12-2025,-1.14
15-12-2025,1.27
16-12-2025,-0.38
17-12-2025,0.02
18-12-2025,-1.47
19-12-2025,-0.94
22-12-2025,-3.05
23-12-2025,-5.97
24-12-2025,-1.03
26-12-2025,-0.84
29-12-2025,-4.5
30-12-2025,-3.37
31-12-2025,-0.28
02-01-2026,2.07
