fund,prev_date,date,nav_prev,nav_curr,mkt_curr,r_official_pct,r_futures_pct,r_market_pct,tracking_basis_pct,vm_retained_dollars,total_notional_prev_dollars,nav_status
BWET,2026-06-21,2026-06-22,,215.6,217.75,,0.6021443838621768,,,238.20599999999104,39559.615000000005,MISSING_NAV
BWET,2026-06-22,2026-06-23,215.6,200.79,205.80999755859372,-6.869202226345085,1.9173165977618731,-5.483353589624008,8.786518824106958,800.2130000000034,41736.091,AVAILABLE
BWET,2026-06-23,2026-06-24,200.79,176.94,167.5500030517578,-11.878081577767814,-5.223215914574995,-18.58995916655767,6.654865663192819,-2221.7630000000063,42536.304000000004,AVAILABLE
BWET,2026-06-24,2026-06-25,176.94,152.56,150.0,-13.778682039109299,-9.554142213110309,-10.474486858908888,4.224539825998991,-3938.8499999999913,41226.621,AVAILABLE
BWET,2026-06-25,2026-06-26,152.56,132.17,128.0,-13.365233350812805,-10.118814757048233,-14.666666666666666,3.2464185937645733,-3625.8329999999987,35832.586,AVAILABLE
BWET,2026-06-26,2026-06-29,132.17,161.4,154.1199951171875,22.11545736551413,-8.069065900116708,20.406246185302734,-30.184523265630837,-2331.880000000001,28899.008,AVAILABLE
BWET,2026-06-29,2026-06-30,161.4,151.43,148.3800048828125,-6.17719950433705,12.660536735472498,-3.7243644019132693,18.837736239809548,3363.541000000001,26567.128,AVAILABLE
BWET,2026-06-30,2026-07-01,151.43,152.12,148.97999572753906,0.45565607871623703,-5.486802388125486,0.40436098192638764,-5.942458466841724,-1135.3500000000022,20692.38,AVAILABLE
BWET,2026-07-01,2026-07-02,152.12,175.31,170.5500030517578,15.244543781225348,0.6119315447798414,14.478458815146494,-14.632612236445505,109.2400000000016,17851.670000000002,AVAILABLE
BWET,2026-07-02,2026-07-03,175.31,,,,12.942774057661888,,,2324.639999999992,17960.910000000003,MISSING_NAV
BWET,2026-07-03,2026-07-06,,170.5,170.0399932861328,,0.0,,,0.0,20285.549999999996,MISSING_NAV
BWET,2026-07-06,2026-07-07,170.5,179.96,177.60000610351562,5.548387096774198,-2.3672515657697177,4.446020416303646,-7.915638662543917,-480.2099999999991,20285.549999999996,AVAILABLE
BWET,2026-07-07,2026-07-08,179.96,207.61,208.17999267578125,15.364525450100025,5.402449648693699,17.218460316066558,-9.962075801406325,1179.1599999999926,21826.395000000004,AVAILABLE
BWET,2026-07-08,2026-07-09,207.61,204.23,199.42999267578125,-1.6280525986224283,13.589808589015542,-4.2030936246727695,15.217861187637972,2964.5949999999975,21814.84,AVAILABLE
BWET,2026-07-09,2026-07-10,204.23,205.8,203.3500061035156,0.7687411252019888,-1.3652555551814762,1.9656087708468297,-2.133996680383465,-381.1899999999987,27920.78,AVAILABLE
BWET,2026-07-10,2026-07-13,205.8,212.31,210.9600067138672,3.1632653061224447,0.6196175364687084,3.742316391413192,-2.5436477696537363,185.77499999999782,29982.204999999998,AVAILABLE
BWET,2026-07-13,2026-07-14,212.31,252.74,257.3500061035156,19.042908953888187,2.394912623746479,21.98994971239686,-16.647996330141705,693.4799999999959,28956.379999999997,AVAILABLE
BWET,2026-07-14,2026-07-15,252.74,231.77,230.02999877929688,-8.297064176624199,13.653808146143023,-10.615895347299755,21.950872322767225,4048.3350000000137,29649.859999999993,AVAILABLE
BWET,2026-07-15,2026-07-16,231.77,230.51,229.2700042724609,-0.5436424041075287,-5.910895227474353,-0.3303893017732637,-5.367252823366825,-1991.8650000000089,33698.19500000001,AVAILABLE
