fund,prev_date,date,reconciliation_status,nav_sh_prev,nav_sh_curr,r_official_pct,prior_total_fund_nav_dollars,futures_vm_retained_dollars,simulated_fund_ret_pct,tracking_diff_pct,retained_contracts_count,closed_contracts_count,opened_contracts_count,closed_notional_dollars,opened_notional_dollars,retained_base_notional_dollars
BWET,2026-06-21,2026-06-22,UNRECONCILED_MISSING_DAILY_NAV,,215.6,,,238205.99999999936,,,8,0,0,0.0,0.0,39559615.0
BWET,2026-06-22,2026-06-23,UNRECONCILED_MISSING_DAILY_NAV,215.6,200.79,-6.869202226345085,,800212.9999999993,,,8,0,0,0.0,0.0,41736091.0
BWET,2026-06-23,2026-06-24,UNRECONCILED_MISSING_DAILY_NAV,200.79,176.94,-11.878081577767814,,-2221763.0,,,8,0,0,0.0,0.0,42536304.0
BWET,2026-06-24,2026-06-25,UNRECONCILED_MISSING_DAILY_NAV,176.94,152.56,-13.778682039109299,,-3938850.0,,,8,0,0,0.0,0.0,41226621.0
BWET,2026-06-25,2026-06-26,UNRECONCILED_MISSING_DAILY_NAV,152.56,132.17,-13.365233350812805,,-3625832.9999999995,,,8,0,0,0.0,0.0,35832586.0
BWET,2026-06-26,2026-06-29,UNRECONCILED_MISSING_DAILY_NAV,132.17,161.4,22.11545736551413,,-2331880.0,,,8,0,0,0.0,0.0,28899008.0
BWET,2026-06-29,2026-06-30,UNRECONCILED_MISSING_DAILY_NAV,161.4,151.43,-6.17719950433705,,3363540.999999999,,,8,0,0,0.0,0.0,26567128.0
BWET,2026-06-30,2026-07-01,RECONCILED_WITH_DATED_NAV,151.43,152.12,0.45565607871623703,15120270.0,-1135350.0000000005,-7.508794485812756,-7.964450564528994,6,2,0,9197879.0,0.0,20692380.0
BWET,2026-07-01,2026-07-02,UNRECONCILED_MISSING_DAILY_NAV,152.12,175.31,15.244543781225348,,109239.99999999949,,,6,0,0,0.0,0.0,17851670.0
BWET,2026-07-02,2026-07-03,UNRECONCILED_MISSING_DAILY_NAV,175.31,,,,2324640.0,,,6,0,0,0.0,0.0,17960910.0
BWET,2026-07-03,2026-07-06,UNRECONCILED_MISSING_DAILY_NAV,,170.5,,,0.0,,,6,0,0,0.0,0.0,20285550.0
BWET,2026-07-06,2026-07-07,UNRECONCILED_MISSING_DAILY_NAV,170.5,179.96,5.548387096774198,,-480209.99999999884,,,6,0,0,0.0,0.0,20285550.0
BWET,2026-07-07,2026-07-08,UNRECONCILED_MISSING_DAILY_NAV,179.96,207.61,15.364525450100025,,1179159.9999999995,,,6,0,6,0.0,1827935.0,21826395.0
BWET,2026-07-08,2026-07-09,UNRECONCILED_MISSING_DAILY_NAV,207.61,204.23,-1.6280525986224283,,2964594.999999999,,,9,3,3,1387230.0,2206560.0,21814840.0
BWET,2026-07-09,2026-07-10,UNRECONCILED_MISSING_DAILY_NAV,204.23,205.8,0.7687411252019888,,-381189.9999999986,,,12,0,0,0.0,0.0,27920780.0
BWET,2026-07-10,2026-07-13,UNRECONCILED_MISSING_DAILY_NAV,205.8,212.31,3.1632653061224447,,185774.99999999796,,,12,0,0,0.0,0.0,29982205.0
BWET,2026-07-13,2026-07-14,UNRECONCILED_MISSING_DAILY_NAV,212.31,252.74,19.042908953888187,,693480.0000000007,,,12,0,0,0.0,0.0,28956380.0
BWET,2026-07-14,2026-07-15,UNRECONCILED_MISSING_DAILY_NAV,252.74,231.77,-8.297064176624199,,4048335.0000000005,,,12,0,0,0.0,0.0,29649860.0
BWET,2026-07-15,2026-07-16,UNRECONCILED_MISSING_DAILY_NAV,231.77,230.51,-0.5436424041075287,,-1991865.0000000012,,,12,0,0,0.0,0.0,33698195.0
BWET,2026-07-16,2026-07-17,UNRECONCILED_MISSING_DAILY_NAV,230.51,227.27,-1.405578933668813,,-158372.99999999884,,,12,0,0,0.0,0.0,32769511.0
BWET,2026-07-17,2026-07-20,UNRECONCILED_MISSING_DAILY_NAV,227.27,228.53,0.5544066528798305,,-398931.0000000007,,,12,0,0,0.0,0.0,35117138.0
BWET,2026-07-20,2026-07-21,UNRECONCILED_MISSING_DAILY_NAV,228.53,247.22,8.178357327265566,,221248.0000000003,,,12,0,0,0.0,0.0,36246017.0
BWET,2026-07-21,2026-07-22,UNRECONCILED_MISSING_DAILY_NAV,247.22,242.2,-2.0305800501577584,,2526221.0000000005,,,12,0,0,0.0,0.0,36467265.0
BWET,2026-07-22,2026-07-23,UNRECONCILED_MISSING_DAILY_NAV,242.2,250.47,3.414533443435182,,-676663.0000000017,,,12,0,0,0.0,0.0,38993486.0
BWET,2026-07-23,2026-07-24,UNRECONCILED_MISSING_DAILY_NAV,250.47,241.49,-3.585259711741921,,1077742.0000000028,,,12,0,0,0.0,0.0,38316823.0
BWET,2026-07-24,2026-07-27,UNRECONCILED_MISSING_DAILY_NAV,241.49,239.82,-0.691540022361181,,-1206930.000000001,,,12,0,0,0.0,0.0,40885125.0
BWET,2026-07-27,2026-07-28,UNRECONCILED_MISSING_DAILY_NAV,239.82,240.7,0.3669418730714684,,-224414.00000000047,,,12,0,0,0.0,0.0,39678195.0
BWET,2026-07-28,2026-07-29,UNRECONCILED_MISSING_DAILY_NAV,240.7,259.56,7.835479850436233,,120704.00000000068,,,12,0,0,0.0,0.0,39453781.0
BWET,2026-07-29,2026-07-30,UNRECONCILED_MISSING_DAILY_NAV,259.56,264.67,1.968716289104644,,2549999.0000000014,,,12,0,0,0.0,0.0,40079525.0
BWET,2026-07-30,2026-07-31,UNRECONCILED_MISSING_DAILY_NAV,264.67,,,,693106.9999999973,,,12,0,0,0.0,0.0,43463184.0
BWET,2026-07-31,2026-08-03,UNRECONCILED_MISSING_DAILY_NAV,,262.26,,,127378.00000000074,,,10,2,0,9301485.0,0.0,35373106.0
BWET,2026-08-03,2026-08-04,UNRECONCILED_MISSING_DAILY_NAV,262.26,258.43,-1.4603828262029985,,-453735.9999999982,,,10,0,0,0.0,0.0,35500484.0
BWET,2026-08-04,2026-08-05,UNRECONCILED_MISSING_DAILY_NAV,258.43,255.18,-1.2575939325929653,,-572413.0000000033,,,10,0,0,0.0,0.0,37917328.0
BWET,2026-08-05,2026-08-07,UNRECONCILED_MISSING_DAILY_NAV,255.18,289.16,13.316090602711819,,1559173.0000000005,,,10,0,0,0.0,0.0,40702715.0
