fund,prev_date,date,nav_prev,nav_curr,mkt_curr,r_official_pct,r_futures_pct,r_market_pct,tracking_basis_pct,vm_retained_dollars,total_notional_prev_dollars,nav_status
BDRY,2026-06-21,2026-06-22,,11.74,11.579999923706056,,-2.0341737552472674,,,-872170.0,42875885.0,MISSING_NAV
BDRY,2026-06-22,2026-06-23,11.74,11.92,11.770000457763672,1.5332197614991459,0.4365923347494383,1.640764553621929,-1.0966274267497074,183385.0,42003715.0,AVAILABLE
BDRY,2026-06-23,2026-06-24,11.92,11.92,11.699999809265137,0.0,1.144171873049814,-0.5947378570606737,1.144171873049814,485860.0,42463900.0,AVAILABLE
BDRY,2026-06-24,2026-06-25,11.92,11.57,11.399999618530272,-2.9362416107382523,0.01285274276000406,-2.564104236115434,2.9490943534982565,5460.0,42481205.0,AVAILABLE
BDRY,2026-06-25,2026-06-26,11.57,11.36,11.270000457763672,-1.8150388936905866,-2.139249246060499,-1.1403435536549582,-0.3242103523699125,-914645.0,42755420.0,AVAILABLE
BDRY,2026-06-26,2026-06-29,11.36,11.76,11.630000114440918,3.521126760563384,-1.2868833181568744,3.1943180306550008,-4.808010078720258,-544170.0,42285885.0,AVAILABLE
BDRY,2026-06-29,2026-06-30,11.76,12.12,11.869999885559082,3.0612244897959133,2.443381795586058,2.063626558525631,-0.6178426942098556,1037305.0,42453660.0,AVAILABLE
BDRY,2026-06-30,2026-07-01,12.12,12.14,12.052000045776367,0.16501650165017617,3.0488455714950984,1.5332785338835988,2.8838290698449223,901195.0,29558565.0,AVAILABLE
BDRY,2026-07-01,2026-07-02,12.14,12.44,12.270000457763672,2.471169686985164,0.12972853364570172,1.8088318217664057,-2.341441153339462,39515.0,30459760.0,AVAILABLE
BDRY,2026-07-02,2026-07-03,12.44,,,,2.342203216305961,,,714355.0,30499275.0,MISSING_NAV
BDRY,2026-07-03,2026-07-06,,13.01,12.960000038146973,,0.0,,,0.0,30493210.0,MISSING_NAV
BDRY,2026-07-06,2026-07-07,13.01,12.92,12.760000228881836,-0.6917755572636423,4.587217941305622,-1.5432084002812456,5.278993498569264,1398790.0,30493210.0,AVAILABLE
BDRY,2026-07-07,2026-07-08,12.92,12.86,12.835000038146973,-0.4643962848297252,-0.6956603536937163,0.5877727893403728,-0.23126406886399103,-221860.0,31892000.0,AVAILABLE
BDRY,2026-07-08,2026-07-09,12.86,13.03,12.949999809265137,1.3219284603421457,-0.43315709432049715,0.8959857481602853,-1.755085554662643,-138410.0,31953765.0,AVAILABLE
