fund,prev_date,date,reconciliation_status,nav_sh_prev,nav_sh_curr,r_official_pct,prior_total_fund_nav_dollars,futures_vm_retained_dollars,simulated_fund_ret_pct,tracking_diff_pct,retained_contracts_count,closed_contracts_count,opened_contracts_count,closed_notional_dollars,opened_notional_dollars,retained_base_notional_dollars
BDRY,2026-06-21,2026-06-22,UNRECONCILED_MISSING_DAILY_NAV,,11.74,,,-872170.0,,,12,0,0,0.0,0.0,42875885.0
BDRY,2026-06-22,2026-06-23,UNRECONCILED_MISSING_DAILY_NAV,11.74,11.92,1.5332197614991459,,183385.0,,,12,0,0,0.0,0.0,42003715.0
BDRY,2026-06-23,2026-06-24,UNRECONCILED_MISSING_DAILY_NAV,11.92,11.92,0.0,,485860.0,,,12,0,0,0.0,0.0,42463900.0
BDRY,2026-06-24,2026-06-25,UNRECONCILED_MISSING_DAILY_NAV,11.92,11.57,-2.9362416107382523,,5460.0,,,12,0,0,0.0,0.0,42481205.0
BDRY,2026-06-25,2026-06-26,UNRECONCILED_MISSING_DAILY_NAV,11.57,11.36,-1.8150388936905866,,-914645.0,,,12,0,0,0.0,0.0,42755420.0
BDRY,2026-06-26,2026-06-29,UNRECONCILED_MISSING_DAILY_NAV,11.36,11.76,3.521126760563384,,-544170.0,,,12,0,0,0.0,0.0,42285885.0
BDRY,2026-06-29,2026-06-30,UNRECONCILED_MISSING_DAILY_NAV,11.76,12.12,3.0612244897959133,,1037305.0,,,12,0,0,0.0,0.0,42453660.0
BDRY,2026-06-30,2026-07-01,RECONCILED_WITH_DATED_NAV,12.12,12.14,0.16501650165017617,29999941.0,901195.0,3.003989241178841,2.838972739528665,9,3,0,13932400.0,0.0,29558565.0
BDRY,2026-07-01,2026-07-02,UNRECONCILED_MISSING_DAILY_NAV,12.14,12.44,2.471169686985164,,39515.0,,,9,0,0,0.0,0.0,30459760.0
BDRY,2026-07-02,2026-07-03,UNRECONCILED_MISSING_DAILY_NAV,12.44,,,,714355.0,,,9,0,3,0.0,273120.0,30499275.0
BDRY,2026-07-03,2026-07-06,UNRECONCILED_MISSING_DAILY_NAV,,13.01,,,0.0,,,12,0,0,0.0,0.0,30493210.0
BDRY,2026-07-06,2026-07-07,UNRECONCILED_MISSING_DAILY_NAV,13.01,12.92,-0.6917755572636423,,1398790.0,,,12,0,0,0.0,0.0,30493210.0
BDRY,2026-07-07,2026-07-08,UNRECONCILED_MISSING_DAILY_NAV,12.92,12.86,-0.4643962848297252,,-221860.0,,,12,0,0,0.0,0.0,31892000.0
BDRY,2026-07-08,2026-07-09,UNRECONCILED_MISSING_DAILY_NAV,12.86,13.03,1.3219284603421457,,-138410.0,,,12,0,0,0.0,0.0,31953765.0
BDRY,2026-07-09,2026-07-10,UNRECONCILED_MISSING_DAILY_NAV,13.03,13.01,-0.1534919416730589,,416950.0,,,12,0,3,0.0,268460.0,32097870.0
BDRY,2026-07-10,2026-07-13,UNRECONCILED_MISSING_DAILY_NAV,13.01,13.33,2.4596464258262896,,-37310.0,,,15,0,3,0.0,526945.0,32783280.0
BDRY,2026-07-13,2026-07-14,UNRECONCILED_MISSING_DAILY_NAV,13.33,13.22,-0.8252063015753895,,719155.0,,,17,1,1,179910.0,182430.0,33093005.0
BDRY,2026-07-14,2026-07-15,UNRECONCILED_MISSING_DAILY_NAV,13.22,13.03,-1.4372163388804937,,-246205.0,,,18,0,0,0.0,0.0,33994590.0
BDRY,2026-07-15,2026-07-16,UNRECONCILED_MISSING_DAILY_NAV,13.03,12.76,-2.072141212586336,,-421690.0,,,18,0,0,0.0,0.0,34863010.0
BDRY,2026-07-16,2026-07-17,UNRECONCILED_MISSING_DAILY_NAV,12.76,12.75,-0.07836990595611118,,-629280.0,,,18,0,0,0.0,0.0,34731800.0
BDRY,2026-07-17,2026-07-20,UNRECONCILED_MISSING_DAILY_NAV,12.75,12.41,-2.6666666666666656,,-3290.0,,,18,0,0,0.0,0.0,34615215.0
BDRY,2026-07-20,2026-07-21,UNRECONCILED_MISSING_DAILY_NAV,12.41,12.69,2.256244963738915,,-782980.0,,,18,0,0,0.0,0.0,34611925.0
BDRY,2026-07-21,2026-07-22,UNRECONCILED_MISSING_DAILY_NAV,12.69,12.61,-0.630417651694248,,638540.0,,,18,0,0,0.0,0.0,33828945.0
BDRY,2026-07-22,2026-07-23,UNRECONCILED_MISSING_DAILY_NAV,12.61,12.84,1.8239492466296625,,-180380.0,,,18,0,0,0.0,0.0,34467485.0
BDRY,2026-07-23,2026-07-24,UNRECONCILED_MISSING_DAILY_NAV,12.84,12.72,-0.9345794392523303,,505245.0,,,18,0,0,0.0,0.0,35096395.0
BDRY,2026-07-24,2026-07-27,UNRECONCILED_MISSING_DAILY_NAV,12.72,12.52,-1.5723270440251655,,-263735.0,,,18,0,0,0.0,0.0,35601640.0
