date,Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
2026-06-29,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,150.0,40.37,6055500.0,39.80%
2026-06-29,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,130.0,36.329,4722770.0,31.04%
2026-06-29,TD20 FFA 130kt West Africa to Continent USD/MT M Jun 26,DD20M M26 INDEX,DD20M M26,5.0,31.85,159250.0,1.05%
2026-06-29,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,20.0,33.983,679660.0,4.47%
2026-06-29,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,20.0,27.473,549460.0,3.61%
2026-06-29,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,20.0,24.235,484700.0,3.19%
2026-06-29,Cash & Other,Cash&Other,Cash&Other,10702266.22,1.0,10702266.22,70.35%
2026-06-29,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,4510011.94,100.0,4510011.94,29.65%
2026-06-30,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jun 26,DD3CM M26 INDEX,DD3CM M26,111.0,81.419,9037509.0,48.65%
2026-06-30,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,110.0,56.112,6172320.0,33.23%
2026-06-30,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,140.0,47.357,6629980.0,35.69%
2026-06-30,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,140.0,43.316,6064240.0,32.64%
2026-06-30,TD20 FFA 130kt West Africa to Continent USD/MT M Jun 26,DD20M M26 INDEX,DD20M M26,5.0,32.074,160370.0,0.86%
2026-06-30,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,20.0,36.329,726580.0,3.91%
2026-06-30,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,20.0,28.383,567660.0,3.06%
2026-06-30,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,20.0,26.58,531600.0,2.86%
2026-06-30,Cash & Other,Cash&Other,Cash&Other,14064870.02,1.0,14064870.02,75.71%
2026-06-30,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,4510011.94,100.0,4510011.94,24.28%
2026-07-01,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,110.0,52.409,5764990.0,38.03%
2026-07-01,TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,120.0,43.876,5265120.0,34.73%
2026-07-01,TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,120.0,41.392,4967040.0,32.77%
2026-07-01,TD20 FFA 130kt West Africa to Continent USD/MT M Jul 26,DD20M N26 INDEX,DD20M N26,20.0,36.77,735400.0,4.85%
2026-07-01,TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,20.0,29.376,587520.0,3.88%
2026-07-01,TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,20.0,26.58,531600.0,3.51%
2026-07-01,Cash & Other,Cash&Other,Cash&Other,10607358.49,1.0,10607358.49,69.98%
2026-07-01,Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,4510011.94,100.0,4510011.94,29.75%
2026-07-02,TD3C FFA 270kt Middle East Gulf to China USD/MT M Jul 26,DD3CM N26 INDEX,DD3CM N26,110.0,53.367,5870370.0,38.55%
