Rate Date,Premium/Discount
21-03-2018,0.0
22-03-2018,0.7376
23-03-2018,-2.94
26-03-2018,1.89
27-03-2018,3.04
28-03-2018,2.05
29-03-2018,1.06
02-04-2018,2.04
03-04-2018,2.81
04-04-2018,0.05
05-04-2018,-0.34
06-04-2018,-0.29
09-04-2018,0.8
10-04-2018,-0.69
11-04-2018,-2.29
12-04-2018,1.32
13-04-2018,-1.63
16-04-2018,-2.83
17-04-2018,-0.56
18-04-2018,-1.42
19-04-2018,-4.13
20-04-2018,-1.32
23-04-2018,-0.48
24-04-2018,-1.26
25-04-2018,0.71
26-04-2018,-1.21
27-04-2018,-2.16
30-04-2018,-3.33
01-05-2018,-1.36
02-05-2018,-1.23
03-05-2018,-2.54
04-05-2018,1.68
07-05-2018,1.68
08-05-2018,0.64
09-05-2018,-1.06
10-05-2018,-3.15
11-05-2018,-0.25
14-05-2018,0.57
15-05-2018,-2.42
16-05-2018,-2.46
17-05-2018,-0.94
18-05-2018,-3.54
21-05-2018,4.31
22-05-2018,1.2
23-05-2018,1.01
24-05-2018,1.4
25-05-2018,1.56
29-05-2018,0.49
30-05-2018,2.34
31-05-2018,-0.75
01-06-2018,-1.64
04-06-2018,-1.41
05-06-2018,-0.09
06-06-2018,-2.05
07-06-2018,0.5
08-06-2018,-0.9
11-06-2018,-0.77
12-06-2018,1.09
13-06-2018,-1.44
14-06-2018,1.82
15-06-2018,1.78
18-06-2018,3.25
19-06-2018,0.71
20-06-2018,-2.51
21-06-2018,1.47
22-06-2018,1.28
25-06-2018,1.18
26-06-2018,1.61
27-06-2018,-1.91
28-06-2018,-0.74
29-06-2018,0.27
02-07-2018,1.21
03-07-2018,1.27
05-07-2018,-0.13
06-07-2018,3.33
09-07-2018,0.73
10-07-2018,-0.63
11-07-2018,-2.16
12-07-2018,1.78
13-07-2018,1.43
16-07-2018,0.86
17-07-2018,2.58
18-07-2018,1.14
19-07-2018,-0.86
20-07-2018,0.25
23-07-2018,0.55
24-07-2018,-0.49
25-07-2018,1.73
26-07-2018,2.34
27-07-2018,-0.24
30-07-2018,-1.28
31-07-2018,-2.88
01-08-2018,-0.81
02-08-2018,-1.04
03-08-2018,-0.23
06-08-2018,-1.03
07-08-2018,1.48
08-08-2018,0.05
09-08-2018,0.94
10-08-2018,-0.76
13-08-2018,0.63
14-08-2018,1.0
15-08-2018,0.5
16-08-2018,1.88
17-08-2018,0.46
20-08-2018,-0.2
21-08-2018,-0.51
22-08-2018,0.35
23-08-2018,1.03
24-08-2018,1.42
27-08-2018,1.42
28-08-2018,1.17
29-08-2018,2.27
30-08-2018,4.67
31-08-2018,5.02
04-09-2018,1.32
05-09-2018,1.53
06-09-2018,-0.57
07-09-2018,-0.0
10-09-2018,2.55
11-09-2018,1.21
12-09-2018,-0.13
13-09-2018,0.17
14-09-2018,0.53
17-09-2018,2.62
18-09-2018,0.09
19-09-2018,0.77
20-09-2018,-0.23
21-09-2018,0.51
24-09-2018,0.48
25-09-2018,0.03
26-09-2018,-0.26
27-09-2018,0.66
28-09-2018,1.15
01-10-2018,1.82
02-10-2018,0.35
03-10-2018,1.06
04-10-2018,2.41
05-10-2018,0.3
08-10-2018,0.72
09-10-2018,-0.25
10-10-2018,-2.62
11-10-2018,-0.71
12-10-2018,0.65
15-10-2018,-0.48
16-10-2018,1.43
17-10-2018,-0.22
18-10-2018,0.41
19-10-2018,-0.36
22-10-2018,-0.53
23-10-2018,1.73
24-10-2018,-0.67
25-10-2018,0.16
26-10-2018,0.4
29-10-2018,0.83
30-10-2018,1.26
31-10-2018,2.17
01-11-2018,5.19
02-11-2018,7.41
05-11-2018,-0.48
06-11-2018,0.33
07-11-2018,-0.57
08-11-2018,2.4
09-11-2018,-0.56
12-11-2018,-0.83
13-11-2018,3.87
14-11-2018,-1.14
15-11-2018,0.88
16-11-2018,-0.25
19-11-2018,2.2
20-11-2018,1.28
21-11-2018,1.2
23-11-2018,0.06
26-11-2018,1.52
27-11-2018,2.04
28-11-2018,-1.04
29-11-2018,-0.79
30-11-2018,-0.47
03-12-2018,-0.84
04-12-2018,-0.59
06-12-2018,2.15
07-12-2018,0.49
10-12-2018,1.42
11-12-2018,0.67
12-12-2018,-1.17
13-12-2018,-4.41
14-12-2018,-3.8
17-12-2018,-0.56
18-12-2018,0.89
19-12-2018,2.85
20-12-2018,6.55
21-12-2018,5.05
24-12-2018,0.68
26-12-2018,0.68
27-12-2018,-0.47
28-12-2018,-0.49
31-12-2018,-2.1
02-01-2019,-0.11
03-01-2019,3.01
04-01-2019,0.39
07-01-2019,-2.61
08-01-2019,-2.61
09-01-2019,2.17
10-01-2019,1.72
11-01-2019,-0.93
14-01-2019,-0.32
15-01-2019,2.42
16-01-2019,-0.57
17-01-2019,-2.83
18-01-2019,0.0
22-01-2019,-0.73
23-01-2019,-0.29
24-01-2019,0.96
25-01-2019,0.7
28-01-2019,0.79
29-01-2019,-0.04
30-01-2019,-0.93
31-01-2019,0.7
01-02-2019,2.06
04-02-2019,0.64
05-02-2019,0.63
06-02-2019,1.03
07-02-2019,0.83
08-02-2019,-0.27
11-02-2019,-0.18
12-02-2019,0.52
13-02-2019,3.79
14-02-2019,1.05
15-02-2019,2.47
19-02-2019,1.67
20-02-2019,4.71
21-02-2019,2.44
22-02-2019,3.55
25-02-2019,2.4
26-02-2019,2.25
27-02-2019,1.93
28-02-2019,3.27
01-03-2019,2.98
04-03-2019,1.57
05-03-2019,2.4
06-03-2019,6.58
07-03-2019,2.3
08-03-2019,2.4
11-03-2019,1.59
12-03-2019,2.48
13-03-2019,2.23
14-03-2019,0.73
15-03-2019,0.14
18-03-2019,0.78
19-03-2019,-0.86
20-03-2019,-0.64
21-03-2019,-0.14
22-03-2019,-0.16
25-03-2019,0.63
26-03-2019,-1.36
27-03-2019,-1.35
28-03-2019,-0.84
29-03-2019,-1.69
01-04-2019,0.0
02-04-2019,0.37
03-04-2019,0.0
04-04-2019,0.64
05-04-2019,1.87
08-04-2019,0.16
09-04-2019,2.39
10-04-2019,2.48
11-04-2019,1.37
12-04-2019,1.42
15-04-2019,1.92
16-04-2019,1.35
17-04-2019,0.72
18-04-2019,1.27
22-04-2019,1.7
23-04-2019,0.89
24-04-2019,0.92
25-04-2019,-0.14
26-04-2019,1.03
29-04-2019,0.59
30-04-2019,0.94
01-05-2019,-1.2
02-05-2019,5.06
03-05-2019,4.89
06-05-2019,-3.98
07-05-2019,1.79
08-05-2019,-0.42
09-05-2019,0.21
10-05-2019,0.25
13-05-2019,-0.78
14-05-2019,0.12
15-05-2019,-0.42
16-05-2019,-1.05
17-05-2019,0.63
20-05-2019,0.04
21-05-2019,0.89
22-05-2019,0.46
23-05-2019,0.37
24-05-2019,0.45
28-05-2019,-0.28
29-05-2019,1.67
30-05-2019,0.16
31-05-2019,-0.16
03-06-2019,-0.52
04-06-2019,-0.4
