Date,HANDYSIZE (38dwt),SMAX/ULTRA,PANAMAX,CAPESIZE
03 Sep 2025,13000,16500,14000,22500
10 Sep 2025,13000,17000,14000,22500
17 Sep 2025,13000,17000,14000,22750
24 Sep 2025,13000,16500,14000,24000
01 Oct 2025,13000,16500,14000,23500
08 Oct 2025,13000,16500,13500,23000
15 Oct 2025,13000,16250,14500,23000
22 Oct 2025,13000,15500,14000,23000
29 Oct 2025,13000,15500,14000,23000
29 Oct 2025,13000,16000,14000,23000
05 Nov 2025,13000,16000,14500,23250
12 Nov 2025,13000,16000,14500,23500
19 Nov 2025,13000,15750,15000,23500
26 Nov 2025,13000,15750,15000,24000
03 Dec 2025,13500,16000,16250,25500
17 Dec 2025,13000,17000,15750,24250
07 Jan 2026,10000,12000,13750,22500
14 Jan 2026,12500,15250,13750,24500
21 Jan 2026,11250,15500,15000,28000
28 Jan 2026,11250,15500,16000,31000
04 Feb 2026,11250,15500,16000,31000
11 Feb 2026,12250,15500,16000,31000
18 Feb 2026,12250,15500,16000,32000
25 Feb 2026,13000,15500,16000,32500
04 Mar 2026,12500,16000,17500,33000
11 Mar 2026,14500,18500,16850,32000
18 Mar 2026,15000,19250,16850,31000
25 Mar 2026,15000,18750,18250,31000
01 Apr 2026,15000,17500,18350,30500
08 Apr 2026,15000,17500,18350,30500
15 Apr 2026,15000,17500,17500,31000
22 Apr 2026,15000,18000,17500,32000
29 Apr 2026,15000,18000,18500,32000
06 May 2026,15000,19000,18000,32000
13 May 2026,15000,19500,18000,34000
20 May 2026,15250,19000,19250,35000
27 May 2026,15250,19500,19500,35000
03 Jun 2026,15250,19150,21000,35000
10 Jun 2026,15250,20000,19750,32500
17 Jun 2026,15250,20000,20000,33000
24 Jun 2026,16250,20000,20000,33000
01 Jul 2026,16250,19500,18250,32500
08 Jul 2026,16250,19500,18250,32500
15 Jul 2026,16000,19500,18250,34000
22 Jul 2026,16000,19500,18250,32000
29 Jul 2026,16000,19500,18250,32000
05 Aug 2026,15750,19500,18250,32000
12 Aug 2026,15750,19500,18250,33000
19 Aug 2026,15750,19500,18250,33000
26 Aug 2026,15750,19500,19000,33000
02 Sep 2026,15750,19500,19000,35000
