Size,6MonthsATL,6MchangeATL,1YearATL,1YRchangeATL,2YearATL,2YRchangeATL,6MonthsPAC,6MchangePAC,1YearPAC,1YRchangePAC,2YearPAC,2YRchangePAC,SORT
Handysize (38dwt),20000,-4,19000,5,17000,15,18000,-3,15750,13,14500,19,1
Supramax / Ultramax,22000,0,20000,10,19000,14,22000,0,19500,11,18250,17,2
Panamax / Kamsarmax,23000,-4,20500,11,17500,26,20000,-20,18250,9,16000,20,3
Capesize,50000,3,39500,26,35000,35,35000,4,33000,9,31500,14,4
