Size,6MonthsATL,6MchangeATL,1YearATL,1YRchangeATL,2YearATL,2YRchangeATL,6MonthsPAC,6MchangePAC,1YearPAC,1YRchangePAC,2YearPAC,2YRchangePAC,SORT
Handysize (38dwt),21000,1,19000,12,17000,19,19000,5,15750,16,14500,22,1
Supramax / Ultramax,23250,1,20500,10,19000,18,22000,0,19500,11,18250,17,2
Panamax / Kamsarmax,23500,-6,20500,11,17500,28,20000,-25,18250,9,16000,20,3
Capesize,48500,0,37000,24,32500,33,33500,0,33000,4,30000,13,4
