Size,6MonthsATL,6MchangeATL,1YearATL,1YRchangeATL,2YearATL,2YRchangeATL,6MonthsPAC,6MchangePAC,1YearPAC,1YRchangePAC,2YearPAC,2YRchangePAC,SORT
Handysize (38dwt),21350,0,19350,9,17000,20,19250,-1,15750,18,14500,25,1
Supramax / Ultramax,22000,-7,19500,7,19000,14,22000,0,19500,11,18000,17,2
Panamax / Kamsarmax,24500,3,21000,16,17500,29,20250,-17,19000,6,17000,16,3
Capesize,55000,12,42500,33,36000,41,40000,13,35000,18,33000,25,4
