Size,6MonthsATL,6MchangeATL,1YearATL,1YRchangeATL,2YearATL,2YRchangeATL,6MonthsPAC,6MchangePAC,1YearPAC,1YRchangePAC,2YearPAC,2YRchangePAC,SORT
Handysize (38dwt),21350,2,19350,11,17000,20,19350,2,15750,19,14500,25,1
Supramax / Ultramax,23500,1,20500,13,19000,19,22000,0,19500,11,18250,17,2
Panamax / Kamsarmax,23750,1,20500,14,17500,26,20250,-16,19000,10,17000,21,3
Capesize,48500,0,37000,24,32500,33,35000,4,33000,6,30000,14,4
