Date,Index,% Change
2008-10-06,1123.0,0.00%
2008-10-07,1083.0,-3.56%
2008-10-08,1031.0,-4.80%
2008-10-09,973.0,-5.63%
2008-10-10,914.0,-6.06%
2008-10-13,884.0,-3.28%
2008-10-14,856.0,-3.17%
2008-10-15,823.0,-3.86%
2008-10-16,771.0,-6.32%
2008-10-17,732.0,-5.06%
2008-10-20,676.0,-7.65%
2008-10-21,625.0,-7.54%
2008-10-22,552.0,-11.68%
2008-10-23,481.0,-12.86%
2008-10-24,455.0,-5.41%
2008-10-27,419.0,-7.91%
2008-10-28,390.0,-6.92%
2008-10-29,368.0,-5.64%
2008-10-30,346.0,-5.98%
2008-10-31,329.0,-4.91%
2008-11-03,318.0,-3.34%
2008-11-04,312.0,-1.89%
2008-11-05,302.0,-3.21%
2008-11-06,299.0,-0.99%
2008-11-07,296.0,-1.00%
2008-11-10,292.0,-1.35%
2008-11-11,288.0,-1.37%
2008-11-12,284.0,-1.39%
2008-11-13,291.0,2.46%
2008-11-14,297.0,2.06%
2008-11-17,300.0,1.01%
2008-11-18,306.0,2.00%
2008-11-19,310.0,1.31%
2008-11-20,314.0,1.29%
2008-11-21,316.0,0.64%
2008-11-24,319.0,0.95%
2008-11-25,321.0,0.63%
2008-11-26,318.0,-0.93%
2008-11-27,316.0,-0.63%
2008-11-28,315.0,-0.32%
2008-12-01,314.0,-0.32%
2008-12-02,310.0,-1.27%
2008-12-03,307.0,-0.97%
2008-12-04,305.0,-0.65%
2008-12-05,300.0,-1.64%
2008-12-08,299.0,-0.33%
2008-12-09,298.0,-0.33%
2008-12-10,300.0,0.67%
2008-12-11,302.0,0.67%
2008-12-12,303.0,0.33%
2008-12-15,304.0,0.33%
2008-12-16,300.0,-1.32%
2008-12-17,299.0,-0.33%
2008-12-18,297.0,-0.67%
2008-12-19,292.0,-1.68%
2008-12-22,288.0,-1.37%
2008-12-23,284.0,-1.39%
2008-12-24,281.0,-1.06%
2009-01-02,279.0,-0.71%
2009-01-05,276.0,-1.08%
2009-01-06,274.0,-0.72%
2009-01-07,272.0,-0.73%
2009-01-08,270.0,-0.74%
2009-01-09,269.0,-0.37%
2009-01-12,268.0,-0.37%
2009-01-13,270.0,0.75%
2009-01-14,275.0,1.85%
2009-01-15,279.0,1.45%
2009-01-16,282.0,1.08%
2009-01-19,285.0,1.06%
2009-01-20,283.0,-0.70%
2009-01-21,282.0,-0.35%
2009-01-22,281.0,-0.35%
