Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,49004.0,7595620.0,20.76%
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,110.0,46936.0,5162960.0,14.11%
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,110.0,44668.0,4913480.0,13.43%
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,110.0,42814.0,4709540.0,12.87%
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,21489.0,4405245.0,12.04%
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,175.0,22550.0,3946250.0,10.79%
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,175.0,22386.0,3917550.0,10.71%
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,175.0,21611.0,3781925.0,10.34%
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,19893.0,1094115.0,2.99%
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,45.0,21200.0,954000.0,2.61%
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,45.0,21018.0,945810.0,2.59%
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,45.0,20189.0,908505.0,2.48%
Cash & Other,Cash&Other,Cash&Other,28182577.68,1.0,28182577.68,77.03%
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,8400349.2,100.0,8400349.2,22.96%
