Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
Capesize 5TC FFA 180kt Timecharter Average M Jul 26,C5TCM N26 INDEX,C5TCM N26,165.0,30204.0,4983660.0,17.29%
Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,165.0,31625.0,5218125.0,18.10%
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,165.0,33664.0,5554560.0,19.27%
Panamax 5TC FFA 82kt Timecharter Average M Jul 26,P5TCM N26 INDEX,P5TCM N26,205.0,19425.0,3982125.0,13.82%
Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,205.0,18879.0,3870195.0,13.43%
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,18686.0,3830630.0,13.29%
Supramax 58 TC FFA 58kt Timecharter Average M Jul 26,S58FM N26 INDEX,S58FM N26,55.0,18921.0,1040655.0,3.61%
Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,18529.0,1019095.0,3.54%
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,18186.0,1000230.0,3.47%
Cash & Other,Cash&Other,Cash&Other,24361459.47,1.0,24361459.47,84.52%
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,4450505.32,100.0,4450505.32,15.44%
