Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,265.0,127.329,33742185.0,32.77%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,182.0,120.891,22002162.0,21.37%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,202.0,115.013,23232626.0,22.56%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,172.0,109.55,18842600.0,18.30%
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,80.0,37.164,2973120.0,2.89%
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,65.0,41.082,2670330.0,2.59%
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,65.0,40.092,2605980.0,2.53%
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,65.0,38.567,2506855.0,2.43%
Cash & Other,Cash&Other,Cash&Other,67079000.97,1.0,67079000.97,65.14%
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,35763547.66,100.0,35763547.66,34.73%
