Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,220.0,184.702,40634440.0,13.69%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,392.0,206.61,80991120.0,27.29%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,372.0,202.817,75447924.0,25.42%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,372.0,198.124,73702128.0,24.83%
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,65.0,63.497,4127305.0,1.39%
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,125.0,77.029,9628625.0,3.24%
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,125.0,60.154,7519250.0,2.53%
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,125.0,52.885,6610625.0,2.23%
Cash & Other,Cash&Other,Cash&Other,158983396.94,1.0,158983396.94,53.57%
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,137704545.84,100.0,137704545.84,46.40%
