Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,220.0,184.194,40522680.0,14.77%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,327.0,197.284,64511868.0,23.51%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,327.0,192.0,62784000.0,22.88%
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,327.0,187.912,61447224.0,22.39%
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,65.0,64.201,4173065.0,1.52%
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,125.0,78.165,9770625.0,3.56%
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,125.0,60.222,7527750.0,2.74%
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,125.0,52.509,6563625.0,2.39%
Cash & Other,Cash&Other,Cash&Other,136656593.69,1.0,136656593.69,49.80%
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,137664945.16,100.0,137664945.16,50.17%
