date,tonnes_repo,avg_cif_usd_t_repo,tonnes_gacc,avg_cif_usd_t_gacc
2017-01-01,275320.8,300.91,1641984.7,50.46
2017-02-01,229360.35,300.91,1337322.5,51.61
2017-03-01,347081.73,300.91,1854561.0,56.32
2017-04-01,411555.35,300.91,2328772.9,53.18
2017-05-01,391448.23,300.91,2261565.1,52.08
2017-06-01,481658.39,300.91,2739335.0,52.91
2017-07-01,479325.72,300.91,2718631.9,53.05
2017-08-01,487916.26,300.91,2777092.2,52.87
2017-09-01,415252.01,300.91,2455770.1,50.88
2017-10-01,285592.34,300.91,1644236.1,52.27
2017-11-01,481776.36,300.91,2787357.6,52.01
2017-12-01,541300.7,300.91,3042512.2,53.54
