date,period,commodity,trade_flow,reporter_country,partner_country,hs_code,metric_tonnes,value_usd,vessel_demand_impact,source,source_url
2013-01-01,201301,Cement / Clinker,Exports,Türkiye,World,2523,1048569.07,61501635.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-02-01,201302,Cement / Clinker,Exports,Türkiye,World,2523,990702.43,57189439.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-03-01,201303,Cement / Clinker,Exports,Türkiye,World,2523,1516794.84,86545653.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-04-01,201304,Cement / Clinker,Exports,Türkiye,World,2523,1415004.91,88023391.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-05-01,201305,Cement / Clinker,Exports,Türkiye,World,2523,1220835.55,78007127.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-06-01,201306,Cement / Clinker,Exports,Türkiye,World,2523,887697.09,56362779.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-07-01,201307,Cement / Clinker,Exports,Türkiye,World,2523,840491.94,52317510.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-08-01,201308,Cement / Clinker,Exports,Türkiye,World,2523,967053.03,59324030.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-09-01,201309,Cement / Clinker,Exports,Türkiye,World,2523,1103221.88,65624709.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-10-01,201310,Cement / Clinker,Exports,Türkiye,World,2523,810613.47,47859472.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-11-01,201311,Cement / Clinker,Exports,Türkiye,World,2523,763712.05,45139931.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2013-12-01,201312,Cement / Clinker,Exports,Türkiye,World,2523,675635.27,37455106.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-01-01,201401,Cement / Clinker,Exports,Türkiye,World,2523,844739.76,47959510.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-02-01,201402,Cement / Clinker,Exports,Türkiye,World,2523,688815.26,40154755.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-03-01,201403,Cement / Clinker,Exports,Türkiye,World,2523,931113.68,54077921.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-04-01,201404,Cement / Clinker,Exports,Türkiye,World,2523,1221297.42,72795553.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-05-01,201405,Cement / Clinker,Exports,Türkiye,World,2523,989472.27,61296418.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-06-01,201406,Cement / Clinker,Exports,Türkiye,World,2523,1074214.28,66503386.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-07-01,201407,Cement / Clinker,Exports,Türkiye,World,2523,898793.26,52728299.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-08-01,201408,Cement / Clinker,Exports,Türkiye,World,2523,847083.69,50687347.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-09-01,201409,Cement / Clinker,Exports,Türkiye,World,2523,859078.23,48281782.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-10-01,201410,Cement / Clinker,Exports,Türkiye,World,2523,802011.14,46144707.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-11-01,201411,Cement / Clinker,Exports,Türkiye,World,2523,1000525.18,58533654.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2014-12-01,201412,Cement / Clinker,Exports,Türkiye,World,2523,901682.45,49909039.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-01-01,201501,Cement / Clinker,Exports,Türkiye,World,2523,663164.87,36263442.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
2015-02-01,201502,Cement / Clinker,Exports,Türkiye,World,2523,921605.26,47476931.0,Handysize,TurkStat general trade,"https://bi.tuik.gov.tr/extensions/tuik-mashup/index.html?report_type=1 (general trade, Qlik app bd4b4757)"
