date,week,month,year,country,commodity,type,outstanding_sales_total
2026-09-03T00:00:00.000,35,8,2026,BARBADOS,Corn,,8500
2026-09-03T00:00:00.000,35,8,2026,CANADA,Corn,,86487
2026-09-03T00:00:00.000,35,8,2026,COLOMBIA,Corn,,1183639
2026-09-03T00:00:00.000,35,8,2026,COSTA RICA,Corn,,127642
2026-09-03T00:00:00.000,35,8,2026,CUBA,Corn,,0
2026-09-03T00:00:00.000,35,8,2026,EGYPT,Corn,,214
2026-09-03T00:00:00.000,35,8,2026,EL SALVADOR,Corn,,62500
2026-09-03T00:00:00.000,35,8,2026,GUATEMALA,Corn,,141834
2026-09-03T00:00:00.000,35,8,2026,HONDURAS,Corn,,371911
2026-09-03T00:00:00.000,35,8,2026,HONG KONG,Corn,,613
2026-09-03T00:00:00.000,35,8,2026,INDONESIA,Corn,,67329
2026-09-03T00:00:00.000,35,8,2026,IRELAND,Corn,,25000
2026-09-03T00:00:00.000,35,8,2026,ITALY,Corn,,63000
2026-09-03T00:00:00.000,35,8,2026,JAMAICA,Corn,,52600
2026-09-03T00:00:00.000,35,8,2026,JAPAN,Corn,,2563190
2026-09-03T00:00:00.000,35,8,2026,JORDAN,Corn,,72
2026-09-03T00:00:00.000,35,8,2026,"KOREA, REPUBLIC OF",Corn,,1053984
2026-09-03T00:00:00.000,35,8,2026,LEEWARD-WINDWARD ISLANDS,Corn,,6300
2026-09-03T00:00:00.000,35,8,2026,MALAYSIA,Corn,,79735
2026-09-03T00:00:00.000,35,8,2026,MEXICO,Corn,,6020402
2026-09-03T00:00:00.000,35,8,2026,MOROCCO,Corn,,196
2026-09-03T00:00:00.000,35,8,2026,NETHERLANDS,Corn,,50000
2026-09-03T00:00:00.000,35,8,2026,NICARAGUA,Corn,,78448
2026-09-03T00:00:00.000,35,8,2026,PANAMA,Corn,,179542
2026-09-03T00:00:00.000,35,8,2026,PHILIPPINES,Corn,,45987
2026-09-03T00:00:00.000,35,8,2026,PORTUGAL,Corn,,33000
2026-09-03T00:00:00.000,35,8,2026,SPAIN,Corn,,121000
2026-09-03T00:00:00.000,35,8,2026,TAIWAN,Corn,,260150
2026-09-03T00:00:00.000,35,8,2026,THAILAND,Corn,,69900
2026-09-03T00:00:00.000,35,8,2026,TRINIDAD AND TOBAGO,Corn,,19900
2026-09-03T00:00:00.000,35,8,2026,UNITED KINGDOM,Corn,,48650
