date,tonnes,vessels,company,source_url,publisher,source_quote,method,import_volume_t,avg_cif_usd_t,granularity
2017-01-01,1641984.7,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 1,641,984,748 kg, US$82,847,874",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,1641984.7,50.46,monthly_bilateral_mirror
2017-02-01,1337322.5,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 1,337,322,473 kg, US$69,017,732",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,1337322.5,51.61,monthly_bilateral_mirror
2017-03-01,1854561.0,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 1,854,560,958 kg, US$104,441,739",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,1854561.0,56.32,monthly_bilateral_mirror
2017-04-01,2328772.9,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 2,328,772,935 kg, US$123,842,753",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,2328772.9,53.18,monthly_bilateral_mirror
2017-05-01,2261565.1,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 2,261,565,111 kg, US$117,792,241",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,2261565.1,52.08,monthly_bilateral_mirror
2017-06-01,2739335.0,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 2,739,335,035 kg, US$144,937,737",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,2739335.0,52.91,monthly_bilateral_mirror
2017-07-01,2718631.9,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 2,718,631,947 kg, US$144,235,805",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,2718631.9,53.05,monthly_bilateral_mirror
2017-08-01,2777092.2,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 2,777,092,201 kg, US$146,820,817",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,2777092.2,52.87,monthly_bilateral_mirror
2017-09-01,2455770.1,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 2,455,770,119 kg, US$124,955,130",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,2455770.1,50.88,monthly_bilateral_mirror
2017-10-01,1644236.1,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 1,644,236,094 kg, US$85,938,723",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,1644236.1,52.27,monthly_bilateral_mirror
2017-11-01,2787357.6,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 2,787,357,622 kg, US$144,973,235",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,2787357.6,52.01,monthly_bilateral_mirror
2017-12-01,3042512.2,,Bilateral Mirror (China Imports from Guinea),http://stats.customs.gov.cn/queryData/queryDataByWhere,General Administration of Customs of China (GACC),"HS 26060000 imports from Guinea: 3,042,512,178 kg, US$162,884,940",GACC query export (user-supplied 2026-09-17) – REPLACES broken 2017 rows,3042512.2,53.54,monthly_bilateral_mirror
