ts_utc,segment,tenor,price,settle
2026-09-14T08:50:57Z,cape,Sep,51000,51157
2026-09-14T08:50:57Z,panamax,Q4,22583.3,22873
2026-09-14T08:50:57Z,supramax,Q4,20733.3,20941
2026-09-14T08:50:57Z,handysize,Q4,18333.3,18413
2026-09-14T08:52:57Z,cape,Oct,48000,48521
2026-09-14T08:52:57Z,cape,Q4,45308.3,45755
2026-09-14T08:52:57Z,panamax,Oct,23250,23579
2026-09-14T08:52:57Z,panamax,Q4,22616.7,22873
2026-09-14T08:58:59Z,cape,Oct,47875,48521
2026-09-14T08:58:59Z,cape,Q4,45266.7,45755
2026-09-14T08:58:59Z,panamax,Q4,22625,22873
2026-09-14T09:01:01Z,cape,Oct,47800,48521
2026-09-14T09:01:01Z,cape,Q4,45241.7,45755
2026-09-14T09:01:01Z,supramax,Q4,20733.3,20941
2026-09-14T09:01:01Z,handysize,Q4,18333.3,18413
2026-09-14T09:03:01Z,handysize,Oct,18600,18890
2026-09-14T09:03:01Z,handysize,Q4,18216.7,18413
2026-09-14T09:05:02Z,handysize,Q4,18200,18413
2026-09-14T09:05:02Z,handysize,Q1,13850,13940
2026-09-14T09:05:02Z,handysize,Cal 27,14325,14366
2026-09-14T09:09:03Z,panamax,Q4,22650,22873
2026-09-14T09:11:05Z,cape,Q4,45241.7,45755
2026-09-14T09:11:05Z,supramax,Q4,20733.3,20941
2026-09-14T09:13:05Z,panamax,Cal 27,18475,18506
2026-09-14T09:15:06Z,cape,Sep,50700,51157
2026-09-14T09:19:07Z,panamax,Q4,22645.8,22873
2026-09-14T09:21:10Z,cape,Q4,45241.7,45755
2026-09-14T09:21:10Z,panamax,Q4,22645.8,22873
2026-09-14T09:21:10Z,supramax,Q4,20733.3,20941
2026-09-14T09:29:11Z,panamax,Oct,23125,23579
2026-09-14T09:29:11Z,panamax,Q4,22629.2,22873
2026-09-14T09:31:14Z,cape,Q4,45241.7,45755
2026-09-14T09:31:14Z,panamax,Oct,23100,23579
2026-09-14T09:31:14Z,panamax,Q4,22620.8,22873
2026-09-14T09:31:14Z,supramax,Q4,20733.3,20941
2026-09-14T09:33:14Z,cape,Sep,50750,51157
2026-09-14T09:33:14Z,cape,Oct,47750,48521
2026-09-14T09:33:14Z,cape,Q4,45183.3,45755
2026-09-14T09:33:14Z,cape,Q1,31000,31198
2026-09-14T09:35:15Z,cape,Q4,45158.3,45755
2026-09-14T09:37:15Z,cape,Q4,45116.7,45755
2026-09-14T09:37:15Z,panamax,Oct,23125,23579
2026-09-14T09:37:15Z,panamax,Q4,22629.2,22873
2026-09-14T09:41:18Z,cape,Q4,45116.7,45755
2026-09-14T09:41:18Z,panamax,Q4,22591.7,22873
2026-09-14T09:41:18Z,supramax,Oct,21150,21364
2026-09-14T09:41:18Z,supramax,Q4,20750,20941
2026-09-14T09:43:18Z,panamax,Q4,22516.7,22873
2026-09-14T09:43:18Z,supramax,Q4,20733.3,20941
2026-09-14T09:45:18Z,panamax,Oct,23025,23579
2026-09-14T09:45:18Z,panamax,Q4,22483.3,22873
2026-09-14T09:47:19Z,cape,Oct,47725,48521
2026-09-14T09:47:19Z,cape,Q4,44975,45755
2026-09-14T09:47:19Z,panamax,Oct,22950,23579
2026-09-14T09:47:19Z,panamax,Q4,22475,22873
2026-09-14T09:47:19Z,supramax,Oct,21100,21364
2026-09-14T09:47:19Z,supramax,Q4,20716.7,20941
