date,year,quarter,minneapolis_to_shanghai,north_mt_to_shanghai,south_go_to_shanghai,davenport_to_shanghai,north_mt_minus_minneapolis,north_mt_minus_davenport,south_go_minus_minneapolis,south_go_minus_davenport
03/31/2023,2023,1,127.76,129.75,92.77,123.02,1.99,6.73,-34.99,-30.25
06/30/2023,2023,2,94.43,135.56,96.15,86.82,41.13,48.74,1.72,9.33
09/30/2023,2023,3,102.62,150.56,105.19,95.61,47.94,54.95,2.57,9.58
12/31/2023,2023,4,113.74,138.06,103.19,106.76,24.32,31.3,-10.55,-3.57
03/31/2024,2024,1,129.02,126.49,90.87,112.7,-2.53,13.79,-38.15,-21.83
06/30/2024,2024,2,100.42,124.4,87.85,95.31,23.98,29.09,-12.57,-7.46
09/30/2024,2024,3,114.09,118.31,86.3,106.47,4.22,11.84,-27.79,-20.17
12/31/2024,2024,4,115.18,105.15,77.36,105.26,-10.03,-0.11,-37.82,-27.9
03/31/2025,2025,1,127.26,119.54,88.21,111.4,-7.72,8.14,-39.05,-23.19
06/30/2025,2025,2,100.38,124.35,89.48,93.24,23.97,31.11,-10.9,-3.76
09/30/2025,2025,3,113.92,131.1,96.09,106.46,17.18,24.64,-17.83,-10.37
12/31/2025,2025,4,110.18,131.55,96.08,105.76,21.37,25.79,-14.1,-9.68
