date,vlgc_84k_tc,mgc_38k_tc,hdy_22k_tc
2019-07-01,1150000.0,610000.0,510000.0
2019-07-08,1150000.0,610000.0,510000.0
2019-07-15,1150000.0,610000.0,510000.0
2019-07-29,1150000.0,610000.0,510000.0
2019-08-05,1150000.0,670000.0,510000.0
2019-08-12,1150000.0,670000.0,
2019-08-19,1150000.0,670000.0,510000.0
2019-08-26,1150000.0,670000.0,510000.0
2019-09-02,1150000.0,670000.0,510000.0
2019-09-09,1150000.0,700000.0,550000.0
2019-09-16,1150000.0,700000.0,550000.0
2019-09-23,1150000.0,700000.0,550000.0
2019-09-30,1150000.0,700000.0,550000.0
2019-10-07,1150000.0,700000.0,550000.0
2019-10-14,1200000.0,700000.0,550000.0
2019-10-21,1200000.0,700000.0,550000.0
2019-10-28,1200000.0,700000.0,550000.0
2019-11-04,1200000.0,700000.0,550000.0
2019-11-11,1200000.0,850000.0,650000.0
2019-11-18,1200000.0,875000.0,650000.0
2019-11-25,1200000.0,875000.0,650000.0
2019-12-02,1200000.0,875000.0,650000.0
2019-12-09,1300000.0,885000.0,650000.0
2019-12-16,1300000.0,885000.0,650000.0
2019-12-30,1300000.0,885000.0,650000.0
2020-01-06,1300000.0,885000.0,650000.0
2020-01-13,1300000.0,885000.0,650000.0
2020-01-20,1300000.0,900000.0,700000.0
2020-01-27,1200000.0,900000.0,700000.0
2020-02-03,1300000.0,875000.0,700000.0
2020-02-10,1300000.0,875000.0,700000.0
2020-02-17,1300000.0,875000.0,700000.0
2020-02-24,1300000.0,875000.0,700000.0
2020-03-02,1300000.0,850000.0,700000.0
2020-03-09,1200000.0,850000.0,700000.0
2020-03-16,1150000.0,850000.0,700000.0
2020-03-23,1150000.0,850000.0,700000.0
2020-03-30,1150000.0,850000.0,700000.0
2020-04-06,1150000.0,850000.0,700000.0
2020-04-13,1150000.0,850000.0,700000.0
2020-04-20,1150000.0,850000.0,680000.0
2020-04-27,1000000.0,825000.0,680000.0
2020-05-04,1000000.0,800000.0,680000.0
2020-05-11,1000000.0,800000.0,680000.0
2020-05-18,850000.0,800000.0,650000.0
2020-05-25,850000.0,750000.0,680000.0
2020-06-01,800000.0,750000.0,680000.0
2020-06-08,750000.0,700000.0,680000.0
2020-06-15,600000.0,670000.0,680000.0
2020-06-22,600000.0,670000.0,680000.0
2020-06-29,600000.0,670000.0,680000.0
2020-07-06,700000.0,670000.0,680000.0
2020-07-13,700000.0,670000.0,680000.0
2020-07-20,700000.0,670000.0,680000.0
2020-07-27,700000.0,670000.0,680000.0
2020-08-03,800000.0,700000.0,680000.0
2020-08-10,900000.0,700000.0,680000.0
2020-08-17,900000.0,700000.0,680000.0
2020-08-24,900000.0,700000.0,680000.0
2020-08-31,900000.0,700000.0,680000.0
