date,bdi,bdry,p1_momentum,p2_term_structure,p3_futures_basis,p4_port_restock,p4_inv_pctl,p5_asset_safety,p5_margin_pctl,total_score,regime,input_staleness_p1,input_staleness_p2,input_staleness_p3,input_staleness_p4,input_staleness_p5,any_input_stale,bdi_fwd_1W,bdry_fwd_1W,bdi_fwd_1M,bdry_fwd_1M,bdi_fwd_3M,bdry_fwd_3M,bdi_fwd_6M,bdry_fwd_6M
2018-03-22,1117.0,25.51300048828125,6.0,10.0,0.0,10.0,,10.0,,36.0,Trough - Accumulation Zone,0,0,0,1,1,False,-5.550581915846016,-10.71218496190237,19.068934646374217,-10.672988361383236,18.442256042972247,-16.121196217748576,34.556848701880035,-10.320233908685303
2018-03-23,1122.0,24.10099983215332,5.2,10.0,0.0,10.0,,10.0,,35.2,Trough - Accumulation Zone,0,1,1,2,2,False,-9.44741532976827,-11.829384058788218,22.63814616755793,-5.605575874702682,16.666666666666664,-12.700713405849145,35.82887700534759,-5.066182647567064
2018-03-26,1126.0,24.84000015258789,5.6,10.0,0.0,10.0,,10.0,,35.6,Trough - Accumulation Zone,0,2,0,3,3,False,-13.232682060390763,-22.504026240939904,22.11367673179396,-11.43317284678846,18.02841918294849,-13.123994399582179,36.767317939609235,-7.6489517184335725
2018-03-27,1117.0,24.07999992370605,5.6,10.0,0.0,10.0,,10.0,,35.6,Trough - Accumulation Zone,0,3,0,4,4,False,-14.682184422560429,-15.905315348176263,21.844225604297225,-9.676079448041172,23.992837958818264,-8.471756705324523,39.21217547000895,-4.734216749420078
2018-03-28,1080.0,23.3799991607666,4.6,10.0,0.0,10.0,,10.0,,34.6,Trough - Accumulation Zone,0,0,0,5,5,False,-12.222222222222221,-12.532072296836974,24.166666666666668,-8.04105743477263,31.666666666666664,-6.5782727203532145,45.370370370370374,-1.8819445787121123
2018-03-29,1055.0,22.780000686645508,3.8,10.0,0.0,10.0,,10.0,,33.8,Trough - Accumulation Zone,0,0,1,6,6,False,-9.76303317535545,-5.794563487202554,27.582938388625593,-1.2291513529657385,39.905213270142184,-3.446004494074953,49.19431279620853,0.7023698094351125
2018-04-03,1016.0,21.25,2.7,10.0,2.5,10.0,,10.0,,35.2,Trough - Accumulation Zone,0,1,0,7,1,False,-4.133858267716536,1.1764705882352942,35.43307086614173,4.705882352941177,58.661417322834644,4.705882352941177,52.95275590551181,7.952943689682905
2018-04-04,977.0,19.25,2.0,10.0,0.0,10.0,,10.0,,32.0,Trough - Accumulation Zone,0,0,0,8,2,False,0.2047082906857728,6.233770197088068,41.65813715455476,19.480519480519483,66.01842374616172,17.76623416256595,57.21596724667349,13.37662733994521
2018-04-05,953.0,20.25,1.1,10.0,0.0,10.0,,10.0,,31.1,Trough - Accumulation Zone,0,0,0,9,3,False,4.197271773347324,9.876543209876543,50.262329485834215,16.049382716049383,68.83525708289612,8.740743001302082,60.545645330535145,7.777781545380015
2018-04-06,948.0,20.450000762939453,0.5,10.0,0.0,10.0,,10.0,,30.5,Trough - Accumulation Zone,0,1,1,10,4,False,6.962025316455696,5.535451966994009,54.53586497890295,13.691927298774726,64.0295358649789,8.704150185278626,58.54430379746836,4.288503025176069
2018-04-09,952.0,21.459999084472656,0.3,10.0,0.0,10.0,,10.0,,30.3,Trough - Accumulation Zone,0,2,0,11,5,False,7.668067226890757,-5.638392992048862,52.62605042016807,6.011188120043871,66.59663865546219,3.588073115626572,56.82773109243697,-0.6197550132341203
2018-04-10,974.0,21.5,0.4,10.0,0.0,10.0,,10.0,,30.4,Trough - Accumulation Zone,0,3,0,12,6,False,8.008213552361395,-0.4651180533475489,51.129363449691986,10.465116279069768,67.5564681724846,9.162787503974366,55.544147843942504,4.232557429823765
2018-04-11,979.0,20.450000762939453,0.4,10.0,0.0,10.0,,10.0,,30.4,Trough - Accumulation Zone,0,0,0,13,7,False,14.81103166496425,8.899753676892356,50.76608784473953,12.518334329755868,70.17364657814096,14.767718521986723,61.28702757916241,13.202927896628255
2018-04-12,993.0,22.25,0.7,10.0,0.0,10.0,,10.0,,30.7,Trough - Accumulation Zone,0,0,0,14,8,False,20.946626384692852,-1.977530490146594,47.83484390735146,-3.820226433571789,70.69486404833837,5.483142981368489,59.516616314199396,1.7977510945180988
2018-04-13,1014.0,21.582000732421875,1.2,10.0,0.0,10.0,,10.0,,31.2,Trough - Accumulation Zone,0,1,1,15,9,False,26.331360946745562,4.253541082495874,38.362919132149905,-2.696694989670517,69.72386587771203,8.74802389426454,55.62130177514793,4.948562922176094
2018-04-16,1025.0,20.25,1.5,10.0,0.0,10.0,,10.0,,31.5,Trough - Accumulation Zone,0,2,0,16,10,True,27.414634146341466,12.098769199701003,27.31707317073171,3.7037037037037033,64.6829268292683,13.629630759910318,51.609756097560975,9.925927056206616
2018-04-17,1052.0,21.399999618530277,2.2,10.0,0.0,10.0,,10.0,,32.2,Trough - Accumulation Zone,0,3,0,17,11,True,26.425855513307983,6.49533327932148,21.00760456273764,-1.8691571292548856,57.50950570342205,7.523367472200615,48.764258555133075,4.018694512531146
2018-04-18,1124.0,22.270000457763672,4.1,10.0,0.0,10.0,,10.0,,34.1,Trough - Accumulation Zone,0,0,0,18,12,True,22.419928825622776,2.1553638633581294,10.231316725978647,1.0327774472772706,50.26690391459074,8.217332223125698,40.213523131672595,-0.26942690641076394
2018-04-19,1201.0,21.809999465942383,7.6,10.0,0.0,10.0,,10.0,,37.6,Trough - Accumulation Zone,0,0,0,19,13,True,14.487926727726894,0.8711624883545476,-0.16652789342214822,-3.7138903520252042,43.04746044962531,12.764788926638438,31.47377185678601,2.567635887224533
2018-04-20,1281.0,22.5,14.4,10.0,2.2,10.0,,10.0,,46.6,Mid-Cycle Equilibrium,0,1,1,20,14,True,6.24512099921936,-3.3333333333333335,-9.289617486338798,-11.11111111111111,38.485558157689304,9.066670735677084,23.106947697111632,-0.5777740478515625
2018-04-23,1306.0,22.700000762939453,15.1,10.0,2.2,10.0,,10.0,,47.3,Mid-Cycle Equilibrium,0,2,0,21,15,True,2.679938744257274,-5.286346795629197,-15.084226646248085,-14.096919186733459,35.68147013782542,8.546249169631196,18.376722817764165,-5.837007570073214
