id,unit,rate_type,rate_subtype,route,count,min_date,max_date
11394,usd,S&P,DRY-RESALE-JP,Ultramax (Japanese),27,2026-02-04,2026-08-05
11395,usd,S&P,DRY-RESALE-CN,Handysize (Chinese),27,2026-02-04,2026-08-05
11396,usd,S&P,DRY-RESALE-JP,Handysize (Japanese),27,2026-02-04,2026-08-05
11399,usd,S&P,DRY-10-CN,Panamax (Chinese),27,2026-02-04,2026-08-05
11400,usd,S&P,DRY-10-JP,Panamax (Japanese),27,2026-02-04,2026-08-05
11357,usd,S&P,DRY-15-CN,Newcastlemax (Chinese),25,2026-02-18,2026-08-05
11358,usd,S&P,DRY-15-JP,Newcastlemax (Japanese),25,2026-02-18,2026-08-05
11359,usd,S&P,DRY-15-CN,Capesize (Chinese),25,2026-02-18,2026-08-05
11360,usd,S&P,DRY-15-JP,Capesize (Japanese),25,2026-02-18,2026-08-05
11361,usd,S&P,DRY-15-CN,Kamsarmax (Chinese),25,2026-02-18,2026-08-05
11362,usd,S&P,DRY-15-JP,Kamsarmax (Japanese),25,2026-02-18,2026-08-05
11363,usd,S&P,DRY-15-CN,Ultramax (Chinese),25,2026-02-18,2026-08-05
11364,usd,S&P,DRY-15-JP,Ultramax (Japanese),25,2026-02-18,2026-08-05
11365,usd,S&P,DRY-15-CN,Handysize (Chinese),25,2026-02-18,2026-08-05
11366,usd,S&P,DRY-15-JP,Handysize (Japanese),25,2026-02-18,2026-08-05
11397,usd,S&P,DRY-15-CN,Panamax (Chinese),25,2026-02-18,2026-08-05
11398,usd,S&P,DRY-15-JP,Panamax (Japanese),25,2026-02-18,2026-08-05
340,ws,TANK,VLCC,MEG/FEAST,2174,2018-05-18,2026-08-07
560,ws,TANK,Aframax,CBS/USG,2173,2018-05-18,2026-08-07
356,ws,TANK,VLCC,WAFR/FEAST,2172,2018-05-18,2026-08-07
352,ws,TANK,VLCC,WAFR/USG,2161,2018-05-18,2026-08-07
348,ws,TANK,VLCC,WAFR/UKC,2159,2018-05-18,2026-08-07
578,usd,TANK,Fuel Oil VLCC,CBS-USG/SPORE,2159,2018-05-18,2026-08-07
373,usd,TANK,VLCC,NSEA/FEAST,2156,2018-05-18,2026-08-07
476,ws,TANK,Aframax,WCN/UKC,2152,2018-05-18,2026-08-07
377,usd,TANK,VLCC,NSEA/WCI,2151,2018-05-18,2026-08-07
385,usd,TANK,VLCC,EAST DEMURRAGE,2151,2018-05-18,2026-08-07
381,usd,TANK,VLCC,WEST DEMURRAGE,2150,2018-05-18,2026-08-07
360,ws,TANK,VLCC,CEYHAN/USG,2149,2018-05-18,2026-08-07
576,usd,TANK,Fuel Oil VLCC,SKAW/SPORE,2149,2018-05-18,2026-08-07
