id,unit,rate_type,rate_subtype,route,count,min_date,max_date
9721,ws,TANK,BALTIC INDEX,MEG/CHINA,1043,2019-02-12,2023-04-25
9722,ws,TANK,BALTIC INDEX,BALT/UKC,1043,2019-02-12,2023-04-25
9723,tce,TANK,BALTIC INDEX,MEG/USG,1043,2019-02-12,2023-04-25
526,tce,TANK,Aframax,WAF/UKCM,844,2020-03-18,2023-04-25
558,tce,TANK,Aframax,USG/UKCM,843,2020-03-19,2023-04-25
538,tce,TANK,Aframax,KOZMINO/NORTH CHINA,791,2020-05-25,2023-04-25
318,ws,TANK,SUEZMAX-MARKET,BOT/WEST,742,2020-07-23,2023-04-25
320,ws,TANK,SUEZMAX-MARKET,MEG/EAST,742,2020-07-23,2023-04-25
11325,tce,TANK,VLCC-MARKET,BITR-1,520,2019-02-04,2023-04-25
11324,ws,TANK,VLCC-MARKET,BITR-3,519,2019-02-04,2023-04-24
11341,usd,TANK,Fuel Oil VLCC,USG/UKC,516,2024-07-18,2026-08-07
9744,ws,TANK,EQUINOR,PRIMORSK/MED,513,2021-06-01,2023-04-25
11326,tce,TANK,VLCC-MARKET,BITR-2,512,2019-02-04,2023-04-24
11327,tce,TANK,VLCC-MARKET,BITR-3,512,2019-02-04,2023-04-24
574,tce,TANK,Aframax,PRIMORSK/MED,505,2021-06-08,2023-04-25
9737,usd,TANK,BALTIC INDEX,TD-19-TCE,495,2021-06-01,2023-04-24
9738,usd,TANK,BALTIC INDEX,TD6-TCE,495,2021-06-01,2023-04-24
9739,usd,TANK,BALTIC INDEX,TD3C-TCE,495,2021-06-01,2023-04-24
9740,usd,TANK,BALTIC INDEX,TD17-TCE,495,2021-06-01,2023-04-24
9741,usd,TANK,BALTIC INDEX,TD1-TCE,495,2021-06-01,2023-04-24
9742,usd,TANK,BALTIC INDEX,TD7-TCE,495,2021-06-01,2023-04-24
9743,usd,TANK,BALTIC INDEX,TD-20-TCE,495,2021-06-01,2023-04-24
595,usd,TANK,1 Year T/C,VLCC,401,2017-07-10,2026-08-05
593,ws,TANK,Dirty,UK/Cont,387,2019-02-04,2026-08-05
594,ws,TANK,Dirty,Caribs/USG,387,2019-02-04,2026-08-05
585,usd,TANK,WEEKLY VLCC,VLCCs available in MEG next 30 days,386,2019-02-04,2026-08-05
586,ws,TANK,Dirty,MEG/WEST,386,2019-02-04,2026-08-05
589,ws,TANK,Dirty,WAF/FEAST,386,2019-02-04,2026-08-05
592,ws,TANK,Dirty,N. Afr/Euromed,386,2019-02-04,2026-08-05
584,usd,TANK,WEEKLY VLCC,VLCCs fixed in all areas last week,385,2019-02-04,2026-08-05
588,ws,TANK,Dirty,MEG/Singapore,385,2019-02-04,2026-08-05
587,ws,TANK,Dirty,MEG/Japan,384,2019-02-04,2026-08-05
591,ws,TANK,Dirty,Sidi Kerir/W Med,384,2019-02-04,2026-08-05
590,ws,TANK,Dirty,WAF/USAC,383,2019-02-04,2026-08-05
596,usd,TANK,1 Year T/C,Suezmax,383,2019-02-04,2026-08-05
597,usd,TANK,1 Year T/C,Aframax,381,2019-02-04,2026-08-05
11323,ws,TANK,VLCC-MARKET,BITR-2,327,2019-02-04,2023-04-24
11322,ws,TANK,VLCC-MARKET,BITR-1,310,2019-02-04,2023-04-24
11328,usd,TANK,VLCC-MARKET,BITR-4,1,2023-04-28,2023-04-28
11329,tce,TANK,VLCC-MARKET,BITR-4,1,2023-04-28,2023-04-28
339,usd,counts,BROKER,MEG Fixture Count,51,2022-06-01,2026-08-01
