date,project_cargo_index,general_cargo_index
2022-08-01,188.0,266.4
2022-09-01,172.9,239.6
2022-10-01,167.1,226.7
2022-11-01,159.5,220.5
2022-12-01,158.6,213.1
2023-01-01,140.9,200.9
2023-02-01,141.5,190.7
2023-03-01,149.9,190.7
2023-04-01,147.8,189.3
2023-05-01,139.6,187.6
2023-06-01,128.1,179.3
2023-07-01,123.9,177.7
2023-08-01,125.5,168.4
2023-09-01,132.0,161.8
2023-10-01,132.3,158.1
2023-11-01,139.5,157.5
2023-12-01,134.2,155.6
2024-01-01,136.8,157.9
2024-02-01,139.5,159.0
2024-03-01,141.0,162.3
2024-04-01,140.7,165.2
2024-05-01,141.8,168.3
2024-06-01,143.6,170.6
2024-07-01,145.4,172.9
2024-08-01,146.7,174.8
2024-09-01,145.5,174.5
2024-10-01,143.0,174.5
2024-11-01,143.2,174.5
2024-12-01,136.8,173.7
2025-01-01,134.7,173.9
2025-02-01,136.6,170.9
2025-03-01,140.8,169.0
2025-04-01,141.1,168.8
2025-05-01,137.9,170.0
2025-06-01,134.7,168.0
2025-07-01,134.1,168.4
2025-08-01,134.4,168.1
2025-09-01,137.6,167.4
2025-10-01,143.9,167.1
2025-11-01,149.0,167.8
2025-12-01,152.4,168.7
2026-01-01,153.6,167.2
2026-02-01,155.0,167.9
2026-03-01,162.3,169.4
2026-04-01,165.7,169.5
2026-05-01,168.8,170.6
2026-06-01,166.6,169.7
2026-07-01,161.4,170.4
2026-08-01,163.3,169.9
