date,portname,portid,year,month,day,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-01-01,Windward Passage,chokepoint23,2019,1,1,7,6,6,1,2,20,22,54876,184216,9037,,,248130,248130
2019-01-01,Yucatan Channel,chokepoint22,2019,1,1,6,5,1,3,13,15,28,50861,178763,3392,22493,274361,255511,529872
2019-01-02,Bab el-Mandeb Strait,chokepoint4,2019,1,2,18,16,6,1,18,41,59,1086489,867667,50050,,776236,2004207,2780443
2019-01-02,Balabac Strait,chokepoint25,2019,1,2,,5,2,,5,7,12,,198584,3896,,323619,202481,526100
2019-01-02,Bering Strait,chokepoint26,2019,1,2,1,2,,,2,3,5,39532,72870,,,39578,112402,151980
2019-01-02,Bohai Strait,chokepoint17,2019,1,2,13,58,11,3,20,85,105,265680,2097912,36550,5315,132585,2405458,2538043
2019-01-02,Bosporus Strait,chokepoint3,2019,1,2,6,23,71,,21,100,121,43905,599979,159912,,466810,803797,1270608
2019-01-02,Cape of Good Hope,chokepoint7,2019,1,2,3,8,8,1,4,20,24,109301,437483,74129,,553937,620914,1174851
2019-01-02,Dover Strait,chokepoint9,2019,1,2,33,17,36,4,43,90,133,996856,902435,95559,5080,919740,1999932,2919672
2019-01-02,Gibraltar Strait,chokepoint8,2019,1,2,23,30,24,9,28,86,114,829067,1298720,88810,15146,1078710,2231744,3310454
2019-01-02,Kerch Strait,chokepoint28,2019,1,2,,4,18,1,7,23,30,,6520,24004,817,23615,31342,54957
2019-01-02,Korea Strait,chokepoint12,2019,1,2,39,44,38,2,61,123,184,639182,1000690,100350,728,1059899,1740953,2800852
2019-01-02,Lombok Strait,chokepoint15,2019,1,2,1,17,1,,7,19,26,4071,2059089,749,,144530,2063909,2208440
2019-01-02,Luzon Strait,chokepoint14,2019,1,2,7,41,7,8,24,63,87,186238,3245704,88643,7902,1038325,3528489,4566815
2019-01-02,Magellan Strait,chokepoint21,2019,1,2,1,,,,,1,1,22741,,,,,22741,22741
