BULK CARRIER,Date,HANDYSIZE,SMAX/ULTRA,PANAMAX,CAPESIZE,
Week 1,1 Jan 2015,7850,10450,10450,8000,Week 1|2015-01-01
Week 2,8 Jan 2015,7850,10000,10100,9850,Week 2|2015-01-08
Week 3,15 Jan 2015,7150,9200,9300,10350,Week 3|2015-01-15
Week 4,22 Jan 2015,7150,9000,9200,10000,Week 4|2015-01-22
Week 5,29 Jan 2015,6700,8550,8350,9000,Week 5|2015-01-29
Week 6,5 Feb 2015,6000,8000,8350,9550,Week 6|2015-02-05
Week 7,12 Feb 2015,6000,8000,8350,9300,Week 7|2015-02-12
Week 8,19 Feb 2015,6000,8000,8150,9300,Week 8|2015-02-19
Week 9,26 Feb 2015,6000,8250,8350,9000,Week 9|2015-02-26
Week 10,5 Mar 2015,6200,8450,8350,8850,Week 10|2015-03-05
Week 11,12 Mar 2015,6300,8550,8350,8850,Week 11|2015-03-12
Week 12,19 Mar 2015,6500,8750,8550,9750,Week 12|2015-03-19
Week 13,26 Mar 2015,6300,8550,8550,9450,Week 13|2015-03-26
Week 14,2 Apr 2015,6100,8450,8550,9150,Week 14|2015-04-02
Week 15,9 Apr 2015,6100,8200,8550,9550,Week 15|2015-04-09
Week 16,16 Apr 2015,6000,8200,8550,9550,Week 16|2015-04-16
Week 17,23 Apr 2015,6000,8000,8150,9850,Week 17|2015-04-23
Week 18,30 Apr 2015,6000,8000,8150,9850,Week 18|2015-04-30
Week 19,7 May 2015,6000,8000,8150,9850,Week 19|2015-05-07
Week 20,14 May 2015,6000,8000,8150,9850,Week 20|2015-05-14
Week 21,21 May 2015,6000,8000,8250,9000,Week 21|2015-05-21
Week 22,28 May 2015,6000,8000,8250,8000,Week 22|2015-05-28
Week 23,4 Jun 2015,6000,6750,6500,8000,Week 23|2015-06-04
Week 24,11 Jun 2015,6000,8200,8750,8300,Week 24|2015-06-11
Week 25,18 Jun 2015,6200,9000,9250,10200,Week 25|2015-06-18
Week 26,25 Jun 2015,6250,9200,9650,11250,Week 26|2015-06-25
Week 27,2 Jul 2015,6250,9200,9800,10850,Week 27|2015-07-02
Week 28,9 Jul 2015,6250,9500,9800,11250,Week 28|2015-07-09
Week 29,16 Jul 2015,6600,9650,9800,13500,Week 29|2015-07-16
Week 30,23 Jul 2015,6700,10000,10250,14000,Week 30|2015-07-23
Week 31,30 Jul 2015,7500,10000,10150,14850,Week 31|2015-07-30
Week 32,6 Aug 2015,7500,10500,10150,15500,Week 32|2015-08-06
Week 33,13 Aug 2015,7500,10500,10150,15500,Week 33|2015-08-13
Week 34,20 Aug 2015,8000,11000,10150,14750,Week 34|2015-08-20
Week 35,27 Aug 2015,8000,12750,10250,12500,Week 35|2015-08-27
Week 36,3 Sep 2015,7750,11000,9500,12500,Week 36|2015-09-03
Week 37,10 Sep 2015,7350,10250,9000,12000,Week 37|2015-09-10
Week 38,17 Sep 2015,7150,10000,9000,12000,Week 38|2015-09-17
Week 39,24 Sep 2015,7850,10000,9000,12000,Week 39|2015-09-24
Week 40,1 Oct 2015,7750,9500,9000,12000,Week 40|2015-10-01
Week 41,8 Oct 2015,7500,9350,9000,12000,Week 41|2015-10-08
Week 42,15 Oct 2015,7250,9000,9000,11500,Week 42|2015-10-15
Week 43,22 Oct 2015,7000,9000,9000,11500,Week 43|2015-10-22
Week 44,29 Oct 2015,6850,9000,9000,11000,Week 44|2015-10-29
Week 45,5 Nov 2015,6550,8750,8850,10250,Week 45|2015-11-05
Week 46,12 Nov 2015,6550,8750,8850,10250,Week 46|2015-11-12
Week 47,19 Nov 2015,5500,6900,7000,8250,Week 47|2015-11-19
Week 48,26 Nov 2015,5500,6900,7000,8750,Week 48|2015-11-26
Week 49,3 Dec 2015,5250,6850,6750,8750,Week 49|2015-12-03
Week 50,10 Dec 2015,5150,6250,6150,7850,Week 50|2015-12-10
Week 51,17 Dec 2015,5150,6100,6150,7000,Week 51|2015-12-17
Week 52,24 Dec 2015,5150,6100,6150,7000,Week 52|2015-12-24
Week 53,31 Dec 2015,5150,6100,6150,7000,Week 53|2015-12-31
Week 01,1 Jan 2016,5150,6100,6150,7000,Week 01|2016-01-01
Week 02,8 Jan 2016,5000,5600,5500,4750,Week 02|2016-01-08
Week 03,15 Jan 2016,5000,5600,5500,4500,Week 03|2016-01-15
