date,port,fuel_grade,price_usd_mt
2026-08-22,americas_average,IFO380,645.5
2026-08-22,americas_average,MGO,1445.5
2026-08-22,americas_average,VLSFO,844.0
2026-08-22,apac_average,IFO380,689.5
2026-08-22,apac_average,MGO,1394.0
2026-08-22,apac_average,VLSFO,899.0
2026-08-22,emea_average,IFO380,644.5
2026-08-22,emea_average,MGO,1559.5
2026-08-22,emea_average,VLSFO,829.5
2026-08-22,fujairah,IFO380,672.0
2026-08-22,fujairah,MGO,1445.5
2026-08-22,fujairah,VLSFO,824.0
2026-08-22,global_20_ports_average,IFO380,653.5
2026-08-22,global_20_ports_average,MGO,1395.0
2026-08-22,global_20_ports_average,VLSFO,823.5
2026-08-22,global_4_ports_average,IFO380,599.0
2026-08-22,global_4_ports_average,MGO,1318.0
2026-08-22,global_4_ports_average,VLSFO,758.5
2026-08-22,global_average_bunker_price,IFO380,663.5
2026-08-22,global_average_bunker_price,MGO,1464.5
2026-08-22,global_average_bunker_price,VLSFO,865.5
2026-08-22,hong_kong,IFO380,681.5
2026-08-22,hong_kong,MGO,1230.0
2026-08-22,hong_kong,VLSFO,843.5
2026-08-22,houston,IFO380,488.0
2026-08-22,houston,MGO,1295.5
2026-08-22,houston,VLSFO,700.5
2026-08-22,la_/_long_beach,IFO380,713.5
2026-08-22,la_/_long_beach,MGO,1435.0
2026-08-22,la_/_long_beach,VLSFO,869.0
2026-08-22,new_york,IFO380,536.0
2026-08-22,new_york,MGO,1430.0
2026-08-22,new_york,VLSFO,747.0
2026-08-22,rotterdam,IFO380,571.0
2026-08-22,rotterdam,MGO,1291.0
2026-08-22,rotterdam,VLSFO,675.5
2026-08-22,santos,IFO380,511.0
2026-08-22,santos,MGO,1368.0
2026-08-22,santos,VLSFO,813.0
2026-08-22,singapore,IFO380,665.5
2026-08-22,singapore,MGO,1239.5
2026-08-22,singapore,VLSFO,833.5
