Date,"VLCC TD3C 270,000 NHC AG/CHINA TCE ","VLCC ECO TD3C ECO - 270,000 NHC AG/CHINA TCE","SUEZMAX TD20 130,000 NHC WAFR/UKC TCE","AFRAMAX TD25 70,000 NHC USG/UKC TCE","LR1 TC5 - 55,000 CPP AG/JAPAN TCE","LR1 ECO TC5 - 55,000 CPP AG/JAPAN TCE","MR - TC2 37,000 CPP UKC/USAC TCE ","MR ECO TC2 37,000 CPP UKC/USAC TCE ","MR - TC14 - 38,000 CPP USG/UKC TCE ","MR ECO - TC14 38,000 CPP USG/UKC TCE","MR TC6 38,000 CPP WMED/MED TCE",MR TRIANGULATION TCE CPP TC2+TC14
1-Aug-26,"450,210","406,694",92625,"83,011","60,536","55,264","7,312","6,833","28,934","25,116","28,565","38,576"
1-Sep-26,"387,764","350,568",99008,"70,506","62,838","57,233","8,270","7,688","29,882","25,922","28,645","39,772"
1-Oct-26,"302,082","273,725",93640,"64,692","59,681","54,358","10,328","9,532","29,391","25,491","38,932","40,309"
1-Nov-26,"292,572","265,105",91376,"62,231","59,153","53,849","11,412","10,498","29,757","25,798","40,758","40,829"
1-Dec-26,"274,453","248,836",88963,"59,626","59,480","54,123","12,693","11,645","30,524","26,452","42,508","41,838"
1-Jan-27,"192,348","175,331",74744,"51,410","52,211","47,626","10,714","9,859","25,346","21,998","45,304","35,962"
1-Feb-27,"179,001","163,356",66901,"50,388","48,993","44,746","9,759","8,997","23,432","20,350","44,531","33,522"
1-Mar-27,"165,599","151,340",59076,"49,387","45,745","41,841","8,857","8,180","21,530","18,713","43,776","31,077"
1-Apr-27,"141,645","129,890",50266,"45,023","41,526","38,074","8,929","8,241","19,263","16,761","40,273","28,949"
1-May-27,"129,752","119,227",45925,"42,924","39,471","36,234","9,043","8,341","18,187","15,834","38,550","27,925"
1-Jun-27,"117,831","108,536",41565,"40,789","37,423","34,399","9,126","8,414","17,091","14,891","36,812","26,902"
1-Jul-27,"96,901","89,786",41899,"38,934","34,827","32,077","7,402","6,860","16,725","14,574","32,012","25,453"
1-Aug-27,"86,525","80,476",42117,"38,068","33,574","30,951","6,593","6,130","16,589","14,456","29,621","24,776"
1-Sep-27,"76,156","71,174",42328,"37,194","32,320","29,825","5,775","5,392","16,447","14,332","27,225","24,098"
1-Oct-27,"90,383","83,877",47872,"42,787","36,390","33,445","8,306","7,669","17,845","15,532","32,009","26,727"
1-Nov-27,"97,533","90,256",50742,"45,650","38,449","35,275","9,637","8,865","18,600","16,179","34,442","28,074"
1-Dec-27,"104,644","96,607",53557,"48,492","40,480","37,082","10,937","10,033","19,336","16,810","36,864","29,420"
1-Dec-27,"96,856","89,767",62351,"48,319","32,972","30,430","9,840","9,047","18,593","16,174","36,511","28,032"
1-Dec-27,"81,974","76,178",42065,"41,448","31,961","29,437","8,612","7,925","18,188","15,809","27,471","26,281"
1-Dec-27,"77,393","72,511",45145,"39,405","25,910","24,185","9,128","8,404","18,799","16,350","26,672","27,363"
1-Dec-27,"63,085","59,728",48296,#N/A,"20,277","19,168","8,851","8,147","18,857","16,392","20,850","26,942"
1-Dec-27,"74,084","69,537","49,138",#N/A,"20,158","19,051","9,858","9,053","18,900","16,429","20,954","27,555"
