Date,HANDY,MR,LR1,LR2,AFRA,SUEZ,VLCC
03 Sep 2025,18000,19000,23500,30000,31500,36500,45000
10 Sep 2025,18000,19250,23500,30500,32500,38500,47500
17 Sep 2025,18350,20000,24500,31500,33500,37500,49000
24 Sep 2025,19000,20750,24500,34000,34500,39000,49000
01 Oct 2025,19000,20000,23000,33500,34500,39000,49000
08 Oct 2025,19000,20000,24500,34000,34000,39000,47500
15 Oct 2025,19750,21000,24500,34000,34000,39000,49000
22 Oct 2025,19500,21000,24500,34000,34000,39000,48000
29 Oct 2025,19500,21000,24500,34000,34000,39500,47500
29 Oct 2025,19500,21000,24500,34000,34000,40000,47500
05 Nov 2025,19500,21000,22500,34000,34500,41000,50000
12 Nov 2025,19500,21000,22500,34000,35000,43500,52500
19 Nov 2025,20000,22000,24000,32500,35000,43500,55000
26 Nov 2025,19000,21500,24000,33500,35000,43500,56500
03 Dec 2025,20000,22000,24000,38500,36500,43500,56500
10 Dec 2025,20000,22000,24500,37500,36500,42500,55000
17 Dec 2025,20000,22500,24500,37500,39000,42500,55000
07 Jan 2026,20000,22500,23500,37500,39000,42500,50000
14 Jan 2026,20000,22500,23500,37500,39000,42500,52500
21 Jan 2026,20000,22000,23500,37500,39000,45000,55000
28 Jan 2026,21000,23500,26500,38500,41500,45000,75000
04 Feb 2026,21000,23500,27500,38500,44000,46500,70000
11 Feb 2026,21000,23500,27500,37500,44000,46500,70000
18 Feb 2026,21500,23500,28500,40000,42500,52500,77500
18 Feb 2026,21500,23500,28500,40000,42500,52500,85000
25 Feb 2026,22000,23500,30000,40000,42500,52500,85000
04 Mar 2026,24000,27500,35000,50000,50000,57500,100000
11 Mar 2026,24000,29000,36500,57500,65000,78500,110000
18 Mar 2026,25500,30000,36500,57500,65000,80000,105000
25 Mar 2026,27000,31500,36500,55000,65000,80000,105000
01 Apr 2026,27000,31500,35000,55000,62500,80000,105000
08 Apr 2026,29000,31500,35000,58500,60000,70000,100000
15 Apr 2026,30000,33500,40000,60000,60000,75000,100000
22 Apr 2026,30000,32500,40000,57500,57500,70000,100000
29 Apr 2026,27500,29500,40000,60000,65000,70000,100000
06 May 2026,27500,29500,40000,60000,63500,70000,100000
13 May 2026,26000,30000,38500,50000,55000,70000,105000
20 May 2026,27000,30000,38500,52500,55000,65000,105000
27 May 2026,27500,30000,38500,52500,55000,62500,107500
03 Jun 2026,26000,27500,38500,50000,50000,57500,107500
10 Jun 2026,27500,28000,35000,45000,45000,55000,107500
17 Jun 2026,27500,27500,35000,45000,45000,55000,107500
24 Jun 2026,23750,26000,36500,45000,48500,59500,110000
01 Jul 2026,23750,26000,36500,45000,48500,59500,107500
08 Jul 2026,25000,27000,38500,48500,52500,70000,107500
15 Jul 2026,25000,27000,38500,48500,52500,70000,107500
22 Jul 2026,25000,27000,38500,50000,52500,70000,107500
29 Jul 2026,25000,27000,38500,54500,55000,75000,107500
05 Aug 2026,25000,27000,36000,54500,57500,75000,107500
12 Aug 2026,25000,27000,36000,55500,57500,75000,107500
19 Aug 2026,24750,26000,36000,54000,56000,73500,112500
26 Aug 2026,25000,28000,36000,57500,58500,80000,120000
