date,tonnes,vessels,company,source_url,publisher,source_quote,method,import_volume_t,avg_cif_usd_t,granularity
2019-11-01,1843790.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=201911,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 1843790 tonnes, CIF $97387848",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),1843790.0,52.82,monthly_bilateral_mirror
2019-12-01,3301670.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=201912,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 3301670 tonnes, CIF $169228698",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),3301670.0,51.26,monthly_bilateral_mirror
2019-12-31,64450000.0,,National Total,https://www.guineamininginsights.com/data-hub,Guinea Mining Insights Data Hub / Ministry of Mines and Geology,Guinea Bauxite Export Growth View data table Data table for Chart Year Export Rate 2015 18 2016 20.9 2017 43 2018 54.15 2019 64.45 2020 82.4 2021 85.66 2022 103 2023 127 2024 145 2025 183,Ministry-reported (Direct Republisher),64450000.0,,annual_national
2020-01-01,4407310.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202001,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4407310 tonnes, CIF $217008202",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4407310.0,49.24,monthly_bilateral_mirror
2020-02-01,4479490.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202002,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4479490 tonnes, CIF $219833774",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4479490.0,49.08,monthly_bilateral_mirror
2020-03-01,4465880.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202003,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4465880 tonnes, CIF $229944233",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4465880.0,51.49,monthly_bilateral_mirror
2020-04-01,4854120.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202004,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4854120 tonnes, CIF $242841731",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4854120.0,50.03,monthly_bilateral_mirror
2020-05-01,4137190.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202005,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4137190 tonnes, CIF $193594373",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4137190.0,46.79,monthly_bilateral_mirror
2020-06-01,5053880.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202006,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 5053880 tonnes, CIF $209311455",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),5053880.0,41.42,monthly_bilateral_mirror
2020-07-01,5840390.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202007,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 5840390 tonnes, CIF $247758983",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),5840390.0,42.42,monthly_bilateral_mirror
2020-08-01,4936320.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202008,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4936320 tonnes, CIF $211942299",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4936320.0,42.94,monthly_bilateral_mirror
2020-09-01,2845270.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202009,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 2845270 tonnes, CIF $125016606",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),2845270.0,43.94,monthly_bilateral_mirror
2020-10-01,3357190.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202010,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 3357190 tonnes, CIF $149817208",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),3357190.0,44.63,monthly_bilateral_mirror
2020-11-01,4092580.0,,National Total (China Bilateral Mirror),https://comtradeapi.un.org/public/v1/preview/C/M/HS?reporterCode=156&partnerCode=324&cmdCode=260600&flowCode=M&period=202011,UN Comtrade (General Administration of Customs China),"UN Comtrade Reporter 156 Partner 324 HS 260600 monthly import: 4092580 tonnes, CIF $179037868",Bilateral Mirror (UN Comtrade China import of Guinea bauxite HS 260600),4092580.0,43.75,monthly_bilateral_mirror
