date,week,month,year,port,in_port,loaded_7_days,due_10_days
1996-11-06,44,11,1996,Gulf,57,52.0,71.0
1996-11-13,45,11,1996,Gulf,55,59.0,70.0
1996-11-20,46,11,1996,Gulf,67,48.0,57.0
1996-11-27,47,11,1996,Gulf,43,44.0,66.0
1996-12-04,48,12,1996,Gulf,50,52.0,76.0
1996-12-11,49,12,1996,Gulf,46,54.0,73.0
1996-12-18,50,12,1996,Gulf,61,50.0,54.0
1996-12-25,51,12,1996,Gulf,45,49.0,68.0
1997-01-02,53,12,1996,Gulf,45,42.0,77.0
1997-01-09,1,1,1997,Gulf,47,43.0,72.0
1997-01-16,2,1,1997,Gulf,48,53.0,71.0
1997-01-23,3,1,1997,Gulf,43,52.0,68.0
1997-01-30,4,1,1997,Gulf,45,43.0,68.0
1997-02-06,5,2,1997,Gulf,43,52.0,66.0
1997-02-13,6,2,1997,Gulf,47,50.0,71.0
1997-02-20,7,2,1997,Gulf,41,55.0,58.0
1997-02-27,8,2,1997,Gulf,41,44.0,49.0
1997-03-06,9,3,1997,Gulf,37,43.0,62.0
1997-03-13,10,3,1997,Gulf,42,46.0,54.0
1997-03-20,11,3,1997,Gulf,43,42.0,48.0
1997-03-27,12,3,1997,Gulf,35,35.0,49.0
1997-04-03,13,3,1997,Gulf,36,41.0,43.0
1997-04-10,14,4,1997,Gulf,22,39.0,43.0
1997-04-17,15,4,1997,Gulf,28,43.0,55.0
1997-04-24,16,4,1997,Gulf,29,38.0,45.0
1997-05-01,17,4,1997,Gulf,29,36.0,39.0
1997-05-08,18,5,1997,Gulf,17,45.0,34.0
1997-05-15,19,5,1997,Gulf,11,25.0,45.0
1997-05-22,20,5,1997,Gulf,22,26.0,49.0
1997-05-29,21,5,1997,Gulf,36,35.0,31.0
1997-06-05,22,6,1997,Gulf,23,34.0,43.0
1997-06-12,23,6,1997,Gulf,27,34.0,53.0
1997-06-19,24,6,1997,Gulf,28,37.0,40.0
1997-06-26,25,6,1997,Gulf,21,40.0,42.0
1997-07-03,26,6,1997,Gulf,19,32.0,65.0
1997-07-10,27,7,1997,Gulf,29,38.0,55.0
1997-07-17,28,7,1997,Gulf,23,40.0,56.0
1997-07-24,29,7,1997,Gulf,19,45.0,55.0
1997-07-31,30,7,1997,Gulf,31,45.0,54.0
1997-08-07,31,8,1997,Gulf,29,44.0,64.0
1997-08-14,32,8,1997,Gulf,35,37.0,64.0
1997-08-21,33,8,1997,Gulf,34,37.0,64.0
1997-08-28,34,8,1997,Gulf,28,52.0,55.0
1997-09-04,35,9,1997,Gulf,33,39.0,55.0
1997-09-04,35,9,1997,PNW,9,,
1997-09-11,36,9,1997,PNW,10,,
1997-09-11,36,9,1997,Gulf,33,46.0,59.0
1997-09-18,37,9,1997,Gulf,35,56.0,64.0
1997-09-25,38,9,1997,Gulf,52,48.0,56.0
1997-10-02,39,9,1997,Gulf,36,52.0,52.0
1997-10-09,40,10,1997,Gulf,31,54.0,62.0
1997-10-16,41,10,1997,Gulf,37,46.0,64.0
1997-10-23,42,10,1997,Gulf,30,61.0,60.0
1997-10-30,43,10,1997,Gulf,34,50.0,67.0
1997-11-06,44,11,1997,Gulf,35,56.0,75.0
1997-11-13,45,11,1997,Gulf,33,49.0,70.0
1997-11-20,46,11,1997,Gulf,29,54.0,73.0
1997-11-27,47,11,1997,Gulf,34,54.0,89.0
1997-12-04,48,12,1997,Gulf,44,59.0,75.0
1997-12-11,49,12,1997,Gulf,37,54.0,67.0
1997-12-18,50,12,1997,Gulf,31,58.0,67.0
1997-12-25,51,12,1997,Gulf,31,58.0,67.0
1998-01-01,52,12,1997,Gulf,41,46.0,79.0
1998-01-08,1,1,1998,Gulf,41,46.0,79.0
1998-01-15,2,1,1998,Gulf,45,49.0,80.0
1998-01-22,3,1,1998,Gulf,62,55.0,65.0
1998-01-29,4,1,1998,Gulf,57,52.0,71.0
1998-02-05,5,2,1998,Gulf,52,52.0,84.0
1998-02-12,6,2,1998,Gulf,62,56.0,58.0
1998-02-19,7,2,1998,Gulf,56,57.0,66.0
1998-02-26,8,2,1998,Gulf,49,52.0,61.0
1998-03-05,9,3,1998,Gulf,47,55.0,68.0
1998-03-12,10,3,1998,Gulf,52,41.0,62.0
1998-03-19,11,3,1998,Gulf,46,45.0,71.0
1998-03-26,12,3,1998,Gulf,56,46.0,60.0
1998-04-02,13,3,1998,Gulf,39,50.0,43.0
1998-04-09,14,4,1998,Gulf,37,40.0,58.0
1998-04-16,15,4,1998,Gulf,39,43.0,46.0
