date,port,basin,total_tonnes,share_of_national_pct,source_url
2024-01-01,SAN PEDRO,Up-River Parana,43500.0,0.73,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/1_enero_2023-2024.php
2024-01-01,VILLA CONSTITUCIÓN,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/1_enero_2023-2024.php
2024-01-01,ZARATE,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/1_enero_2023-2024.php
2024-02-01,BAHIA BLANCA,Ocean Deepwater,742023.0,14.91,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/2_febrero_2023-2024.php
2024-02-01,NECOCHEA,Ocean Deepwater,653516.0,13.13,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/2_febrero_2023-2024.php
2024-02-01,RAMALLO,Up-River Parana,49192.0,0.99,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/2_febrero_2023-2024.php
2024-02-01,ROSARIO,Up-River Parana,970867.0,19.5,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/2_febrero_2023-2024.php
2024-02-01,SAN LORENZO,Up-River Parana,2562334.0,51.47,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/2_febrero_2023-2024.php
2024-02-01,SAN PEDRO,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/2_febrero_2023-2024.php
2024-02-01,VILLA CONSTITUCIÓN,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/2_febrero_2023-2024.php
2024-02-01,ZARATE,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/2_febrero_2023-2024.php
2024-03-01,BAHIA BLANCA,Ocean Deepwater,766944.0,10.75,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/3_marzo_2023-2024.php
2024-03-01,NECOCHEA,Ocean Deepwater,447884.0,6.28,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/3_marzo_2023-2024.php
2024-03-01,RAMALLO,Up-River Parana,52825.0,0.74,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/3_marzo_2023-2024.php
2024-03-01,ROSARIO,Up-River Parana,1586900.0,22.24,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/3_marzo_2023-2024.php
2024-03-01,SAN LORENZO,Up-River Parana,4035208.0,56.55,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/3_marzo_2023-2024.php
2024-03-01,SAN PEDRO,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/3_marzo_2023-2024.php
2024-03-01,VILLA CONSTITUCIÓN,Up-River Parana,14850.0,0.21,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/3_marzo_2023-2024.php
2024-03-01,ZARATE,Up-River Parana,231153.0,3.24,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/3_marzo_2023-2024.php
2024-04-01,BAHIA    BLANCA,Up-River Parana,1478268.0,17.96,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2023-2024/4_abril_2023-2024.php
