date,port,basin,total_tonnes,share_of_national_pct,source_url
2023-04-01,NECOCHEA,Ocean Deepwater,280247.0,7.25,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/4_abril_2022-2023.php
2023-04-01,RAMALLO,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/4_abril_2022-2023.php
2023-04-01,ROSARIO,Up-River Parana,757403.0,19.6,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/4_abril_2022-2023.php
2023-04-01,SAN    LORENZO,Up-River Parana,2297482.0,59.45,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/4_abril_2022-2023.php
2023-04-01,VILLA    CONSTITUCIÓN,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/4_abril_2022-2023.php
2023-04-01,ZARATE,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/4_abril_2022-2023.php
2023-05-01,BAHIA    BLANCA,Up-River Parana,937261.0,19.39,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/5_mayo_2022-2023.php
2023-05-01,NECOCHEA,Ocean Deepwater,274804.0,5.68,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/5_mayo_2022-2023.php
2023-05-01,RAMALLO,Up-River Parana,48918.0,1.01,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/5_mayo_2022-2023.php
2023-05-01,ROSARIO,Up-River Parana,751394.0,15.54,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/5_mayo_2022-2023.php
2023-05-01,SAN    LORENZO,Up-River Parana,2779911.0,57.51,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/5_mayo_2022-2023.php
2023-05-01,ZARATE,Up-River Parana,15009.0,0.31,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/5_mayo_2022-2023.php
2023-06-01,BAHIA    BLANCA,Up-River Parana,734394.0,16.44,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/6_junio_2022-2023.php
2023-06-01,NECOCHEA,Ocean Deepwater,307611.0,6.89,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/6_junio_2022-2023.php
2023-06-01,RAMALLO,Up-River Parana,0.0,0.0,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/6_junio_2022-2023.php
2023-06-01,ROSARIO,Up-River Parana,794072.0,17.78,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/6_junio_2022-2023.php
2023-06-01,SAN    LORENZO,Up-River Parana,2536128.0,56.77,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/6_junio_2022-2023.php
2023-06-01,SAN PEDRO,Up-River Parana,18000.0,0.4,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/6_junio_2022-2023.php
2023-06-01,VILLA CONSTITUCIÓN,Up-River Parana,36050.0,0.81,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/6_junio_2022-2023.php
2023-06-01,ZARATE,Up-River Parana,41014.0,0.92,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/6_junio_2022-2023.php
2023-07-01,BAHIA BLANCA,Ocean Deepwater,1064409.0,7.12,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/7_julio_2022-2023.php
2023-07-01,NECOCHEA,Ocean Deepwater,580315.0,3.88,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/7_julio_2022-2023.php
2023-07-01,RAMALLO,Up-River Parana,169928.0,1.14,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/7_julio_2022-2023.php
2023-07-01,ROSARIO,Up-River Parana,2371180.0,15.86,https://www.magyp.gob.ar/sitio/areas/ss_mercados_agropecuarios/exportaciones/_archivos/000033_Base de Datos de Transporte y Embarque de Granos/embarques_interanual/mensual-2022-2023/7_julio_2022-2023.php
