Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings,Account,Date
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,691620.9,100.0,691620.9,2.20%,BDRY,2026-08-21
Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,155.0,39093.0,6059415.0,19.30%,BDRY,2026-08-21
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,41021.0,6358255.0,20.25%,BDRY,2026-08-21
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,60.0,42229.0,2533740.0,8.07%,BDRY,2026-08-21
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,60.0,40264.0,2415840.0,7.69%,BDRY,2026-08-21
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,60.0,38636.0,2318160.0,7.38%,BDRY,2026-08-21
Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,205.0,19743.0,4047315.0,12.89%,BDRY,2026-08-21
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,20811.0,4266255.0,13.59%,BDRY,2026-08-21
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,100.0,21943.0,2194300.0,6.99%,BDRY,2026-08-21
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,100.0,21604.0,2160400.0,6.88%,BDRY,2026-08-21
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,100.0,20286.0,2028600.0,6.46%,BDRY,2026-08-21
Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,18586.0,1022230.0,3.26%,BDRY,2026-08-21
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,19979.0,1098845.0,3.50%,BDRY,2026-08-21
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,25.0,20818.0,520450.0,1.66%,BDRY,2026-08-21
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,25.0,20136.0,503400.0,1.60%,BDRY,2026-08-21
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,25.0,18850.0,471250.0,1.50%,BDRY,2026-08-21
Cash & Other,Cash&Other,Cash&Other,30686389.49,1.0,30686389.49,97.73%,BDRY,2026-08-21
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,72021597.3,100.0,72021597.3,42.97%,BWET,2026-08-21
TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,30.0,45.972,1379160.0,0.82%,BWET,2026-08-21
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,105.0,51.39,5395950.0,3.22%,BWET,2026-08-21
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,190.0,45.348,8616120.0,5.14%,BWET,2026-08-21
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,190.0,42.54,8082600.0,4.82%,BWET,2026-08-21
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,190.0,39.701,7543190.0,4.50%,BWET,2026-08-21
TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,160.0,103.295,16527200.0,9.86%,BWET,2026-08-21
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,265.0,121.26,32133900.0,19.17%,BWET,2026-08-21
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,212.0,113.18,23994160.0,14.32%,BWET,2026-08-21
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,237.0,106.1,25145700.0,15.00%,BWET,2026-08-21
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,192.0,103.07,19789440.0,11.81%,BWET,2026-08-21
Cash & Other,Cash&Other,Cash&Other,95406341.29,1.0,95406341.29,56.92%,BWET,2026-08-21
