Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings,Account,Date
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,9205494.5,100.0,9205494.5,23.93%,BDRY,2026-09-14
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,51157.0,7929335.0,20.61%,BDRY,2026-09-14
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,105.0,48521.0,5094705.0,13.24%,BDRY,2026-09-14
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,105.0,45461.0,4773405.0,12.41%,BDRY,2026-09-14
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,105.0,43282.0,4544610.0,11.81%,BDRY,2026-09-14
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,22100.0,4530500.0,11.78%,BDRY,2026-09-14
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,170.0,23579.0,4008430.0,10.42%,BDRY,2026-09-14
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,170.0,23057.0,3919690.0,10.19%,BDRY,2026-09-14
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,170.0,21982.0,3736940.0,9.71%,BDRY,2026-09-14
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,19814.0,1089770.0,2.83%,BDRY,2026-09-14
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,40.0,21364.0,854560.0,2.22%,BDRY,2026-09-14
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,40.0,21182.0,847280.0,2.20%,BDRY,2026-09-14
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,40.0,20275.0,811000.0,2.11%,BDRY,2026-09-14
Cash & Other,Cash&Other,Cash&Other,29258942.24,1.0,29258942.24,76.06%,BDRY,2026-09-14
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,116042565.84,100.0,116042565.84,40.68%,BWET,2026-09-14
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,65.0,62.651,4072315.0,1.43%,BWET,2026-09-14
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,125.0,70.787,8848375.0,3.10%,BWET,2026-09-14
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,125.0,62.366,7795750.0,2.73%,BWET,2026-09-14
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,125.0,55.587,6948375.0,2.44%,BWET,2026-09-14
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,220.0,178.052,39171440.0,13.73%,BWET,2026-09-14
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,357.0,201.72,72014040.0,25.24%,BWET,2026-09-14
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,357.0,192.288,68646816.0,24.06%,BWET,2026-09-14
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,357.0,181.014,64621998.0,22.65%,BWET,2026-09-14
Cash & Other,Cash&Other,Cash&Other,167442769.66,1.0,167442769.66,58.69%,BWET,2026-09-14
