Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings,Account,Date
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,691620.9,100.0,691620.9,2.25%,BDRY,2026-08-20
Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,155.0,38543.0,5974165.0,19.48%,BDRY,2026-08-20
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,39614.0,6140170.0,20.02%,BDRY,2026-08-20
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,50.0,40821.0,2041050.0,6.65%,BDRY,2026-08-20
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,50.0,39171.0,1958550.0,6.39%,BDRY,2026-08-20
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,50.0,37593.0,1879650.0,6.13%,BDRY,2026-08-20
Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,205.0,19671.0,4032555.0,13.15%,BDRY,2026-08-20
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,20296.0,4160680.0,13.57%,BDRY,2026-08-20
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,100.0,21500.0,2150000.0,7.01%,BDRY,2026-08-20
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,100.0,21164.0,2116400.0,6.90%,BDRY,2026-08-20
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,100.0,19964.0,1996400.0,6.51%,BDRY,2026-08-20
Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,18625.0,1024375.0,3.34%,BDRY,2026-08-20
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,19925.0,1095875.0,3.57%,BDRY,2026-08-20
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,25.0,20754.0,518850.0,1.69%,BDRY,2026-08-20
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,25.0,20075.0,501875.0,1.64%,BDRY,2026-08-20
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,25.0,18793.0,469825.0,1.53%,BDRY,2026-08-20
Cash & Other,Cash&Other,Cash&Other,29979513.8,1.0,29979513.8,97.74%,BDRY,2026-08-20
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,53149380.3,100.0,53149380.3,41.54%,BWET,2026-08-20
TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,30.0,44.922,1347660.0,1.05%,BWET,2026-08-20
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,100.0,50.646,5064600.0,3.96%,BWET,2026-08-20
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,150.0,44.805,6720750.0,5.25%,BWET,2026-08-20
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,150.0,40.367,6055050.0,4.73%,BWET,2026-08-20
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,150.0,38.071,5710650.0,4.46%,BWET,2026-08-20
TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,160.0,102.038,16326080.0,12.76%,BWET,2026-08-20
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,265.0,112.654,29853310.0,23.33%,BWET,2026-08-20
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,182.0,106.159,19320938.0,15.10%,BWET,2026-08-20
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,182.0,101.05,18391100.0,14.37%,BWET,2026-08-20
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,182.0,95.941,17461262.0,13.65%,BWET,2026-08-20
Cash & Other,Cash&Other,Cash&Other,74643459.63,1.0,74643459.63,58.34%,BWET,2026-08-20
