Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings,Account,Date
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,844429.9,100.0,844429.9,2.73%,BDRY,2026-08-14
Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,155.0,39200.0,6076000.0,19.63%,BDRY,2026-08-14
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,39404.0,6107620.0,19.74%,BDRY,2026-08-14
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,50.0,40007.0,2000350.0,6.46%,BDRY,2026-08-14
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,50.0,38536.0,1926800.0,6.23%,BDRY,2026-08-14
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,50.0,37179.0,1858950.0,6.01%,BDRY,2026-08-14
Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,205.0,20336.0,4168880.0,13.47%,BDRY,2026-08-14
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,20964.0,4297620.0,13.89%,BDRY,2026-08-14
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,80.0,21639.0,1731120.0,5.59%,BDRY,2026-08-14
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,80.0,21025.0,1682000.0,5.44%,BDRY,2026-08-14
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,80.0,19857.0,1588560.0,5.13%,BDRY,2026-08-14
Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,18711.0,1029105.0,3.33%,BDRY,2026-08-14
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,20207.0,1111385.0,3.59%,BDRY,2026-08-14
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,20.0,20761.0,415220.0,1.34%,BDRY,2026-08-14
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,20.0,20018.0,400360.0,1.29%,BDRY,2026-08-14
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,20.0,18693.0,373860.0,1.21%,BDRY,2026-08-14
Cash & Other,Cash&Other,Cash&Other,30092565.99,1.0,30092565.99,97.24%,BDRY,2026-08-14
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,32892067.85,100.0,32892067.85,40.77%,BWET,2026-08-14
TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,30.0,38.507,1155210.0,1.43%,BWET,2026-08-14
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,50.0,42.53,2126500.0,2.64%,BWET,2026-08-14
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,50.0,39.474,1973700.0,2.45%,BWET,2026-08-14
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,50.0,38.273,1913650.0,2.37%,BWET,2026-08-14
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,50.0,36.55,1827500.0,2.27%,BWET,2026-08-14
TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,160.0,95.167,15226720.0,18.87%,BWET,2026-08-14
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,255.0,95.096,24249480.0,30.06%,BWET,2026-08-14
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,132.0,90.95,12005400.0,14.88%,BWET,2026-08-14
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,132.0,83.763,11056716.0,13.70%,BWET,2026-08-14
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,132.0,76.643,10116876.0,12.54%,BWET,2026-08-14
Cash & Other,Cash&Other,Cash&Other,47720698.83,1.0,47720698.83,59.15%,BWET,2026-08-14
