Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings,Account,Date
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,5691620.9,100.0,5691620.9,17.26%,BDRY,2026-08-26
Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,155.0,39679.0,6150245.0,18.65%,BDRY,2026-08-26
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,44079.0,6832245.0,20.72%,BDRY,2026-08-26
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,65.0,45196.0,2937740.0,8.91%,BDRY,2026-08-26
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,65.0,43454.0,2824510.0,8.57%,BDRY,2026-08-26
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,65.0,41229.0,2679885.0,8.13%,BDRY,2026-08-26
Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,205.0,19825.0,4064125.0,12.33%,BDRY,2026-08-26
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,21604.0,4428820.0,13.43%,BDRY,2026-08-26
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,105.0,22886.0,2403030.0,7.29%,BDRY,2026-08-26
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,105.0,22529.0,2365545.0,7.18%,BDRY,2026-08-26
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,105.0,21157.0,2221485.0,6.74%,BDRY,2026-08-26
Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,18557.0,1020635.0,3.10%,BDRY,2026-08-26
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,20086.0,1104730.0,3.35%,BDRY,2026-08-26
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,30.0,21068.0,632040.0,1.92%,BDRY,2026-08-26
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,30.0,20468.0,614040.0,1.86%,BDRY,2026-08-26
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,30.0,19225.0,576750.0,1.75%,BDRY,2026-08-26
Cash & Other,Cash&Other,Cash&Other,27293074.49,1.0,27293074.49,82.78%,BDRY,2026-08-26
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,114691441.3,100.0,114691441.3,58.18%,BWET,2026-08-26
TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,30.0,44.776,1343280.0,0.68%,BWET,2026-08-26
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,90.0,44.3,3987000.0,2.02%,BWET,2026-08-26
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,180.0,41.273,7429140.0,3.77%,BWET,2026-08-26
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,180.0,38.615,6950700.0,3.53%,BWET,2026-08-26
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,180.0,37.062,6671160.0,3.38%,BWET,2026-08-26
TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,160.0,105.595,16895200.0,8.57%,BWET,2026-08-26
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,335.0,133.84,44836400.0,22.74%,BWET,2026-08-26
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,357.0,125.734,44887038.0,22.77%,BWET,2026-08-26
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,382.0,116.204,44389928.0,22.52%,BWET,2026-08-26
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,347.0,113.069,39234943.0,19.90%,BWET,2026-08-26
Cash & Other,Cash&Other,Cash&Other,82142406.75,1.0,82142406.75,41.67%,BWET,2026-08-26
