Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings,Account,Date
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,5691620.9,100.0,5691620.9,17.21%,BDRY,2026-08-27
Capesize 5TC FFA 180kt Timecharter Average M Aug 26,C5TCM Q26 INDEX,C5TCM Q26,155.0,39725.0,6157375.0,18.61%,BDRY,2026-08-27
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,43932.0,6809460.0,20.58%,BDRY,2026-08-27
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,75.0,44986.0,3373950.0,10.20%,BDRY,2026-08-27
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,75.0,43325.0,3249375.0,9.82%,BDRY,2026-08-27
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,75.0,41236.0,3092700.0,9.35%,BDRY,2026-08-27
Panamax 5TC FFA 82kt Timecharter Average M Aug 26,P5TCM Q26 INDEX,P5TCM Q26,205.0,19907.0,4080935.0,12.34%,BDRY,2026-08-27
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,21725.0,4453625.0,13.46%,BDRY,2026-08-27
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,115.0,23107.0,2657305.0,8.03%,BDRY,2026-08-27
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,115.0,22789.0,2620735.0,7.92%,BDRY,2026-08-27
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,115.0,21532.0,2476180.0,7.49%,BDRY,2026-08-27
Supramax 58 TC FFA 58kt Timecharter Average M Aug 26,S58FM Q26 INDEX,S58FM Q26,55.0,18564.0,1021020.0,3.09%,BDRY,2026-08-27
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,19904.0,1094720.0,3.31%,BDRY,2026-08-27
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,30.0,21143.0,634290.0,1.92%,BDRY,2026-08-27
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,30.0,20564.0,616920.0,1.86%,BDRY,2026-08-27
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,30.0,19386.0,581580.0,1.76%,BDRY,2026-08-27
Cash & Other,Cash&Other,Cash&Other,27372440.09,1.0,27372440.09,82.74%,BDRY,2026-08-27
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,96142553.3,100.0,96142553.3,70.26%,BWET,2026-08-27
TD20 FFA 130kt West Africa to Continent USD/MT M Aug 26,DD20M Q26 INDEX,DD20M Q26,30.0,44.618,1338540.0,0.98%,BWET,2026-08-27
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,90.0,40.17,3615300.0,2.64%,BWET,2026-08-27
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,115.0,39.572,4550780.0,3.33%,BWET,2026-08-27
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,115.0,36.635,4213025.0,3.08%,BWET,2026-08-27
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,115.0,35.116,4038340.0,2.95%,BWET,2026-08-27
TD3C FFA 270kt Middle East Gulf to China USD/MT M Aug 26,DD3CM Q26 INDEX,DD3CM Q26,160.0,105.412,16865920.0,12.33%,BWET,2026-08-27
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,290.0,119.452,34641080.0,25.32%,BWET,2026-08-27
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,282.0,109.034,30747588.0,22.47%,BWET,2026-08-27
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,307.0,104.994,32233158.0,23.56%,BWET,2026-08-27
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,272.0,101.167,27517424.0,20.11%,BWET,2026-08-27
Cash & Other,Cash&Other,Cash&Other,40075641.87,1.0,40075641.87,29.29%,BWET,2026-08-27
