Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings,Account,Date
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,7986205.75,100.0,7986205.75,20.58%,BDRY,2026-09-08
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,53436.0,8282580.0,21.34%,BDRY,2026-09-08
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,90.0,50204.0,4518360.0,11.64%,BDRY,2026-09-08
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,90.0,47043.0,4233870.0,10.91%,BDRY,2026-09-08
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,90.0,44354.0,3991860.0,10.28%,BDRY,2026-09-08
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,22700.0,4653500.0,11.99%,BDRY,2026-09-08
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,150.0,24214.0,3632100.0,9.36%,BDRY,2026-09-08
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,150.0,23271.0,3490650.0,8.99%,BDRY,2026-09-08
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,150.0,22204.0,3330600.0,8.58%,BDRY,2026-09-08
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,19761.0,1086855.0,2.80%,BDRY,2026-09-08
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,30.0,22257.0,667710.0,1.72%,BDRY,2026-09-08
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,30.0,21739.0,652170.0,1.68%,BDRY,2026-09-08
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,30.0,20589.0,617670.0,1.59%,BDRY,2026-09-08
Cash & Other,Cash&Other,Cash&Other,30826149.45,1.0,30826149.45,79.42%,BDRY,2026-09-08
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,42520141.84,100.0,42520141.84,34.08%,BWET,2026-09-08
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,65.0,50.329,3271385.0,2.62%,BWET,2026-09-08
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,70.0,50.635,3544450.0,2.84%,BWET,2026-09-08
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,70.0,45.464,3182480.0,2.55%,BWET,2026-09-08
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,70.0,42.249,2957430.0,2.37%,BWET,2026-09-08
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,220.0,138.427,30453940.0,24.41%,BWET,2026-09-08
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,257.0,136.42,35059940.0,28.10%,BWET,2026-09-08
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,232.0,126.466,29340112.0,23.52%,BWET,2026-09-08
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,202.0,119.134,24065068.0,19.29%,BWET,2026-09-08
Cash & Other,Cash&Other,Cash&Other,82200755.4,1.0,82200755.4,65.89%,BWET,2026-09-08
