Name,Ticker,CUSIP,Lots,Price,Market_Value,Weightings,Account,Date
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,9205494.5,100.0,9205494.5,23.82%,BDRY,2026-09-11
Capesize 5TC FFA 180kt Timecharter Average M Sep 26,C5TCM U26 INDEX,C5TCM U26,155.0,51829.0,8033495.0,20.79%,BDRY,2026-09-11
Capesize 5TC FFA 180kt Timecharter Average M Oct 26,C5TCM V26 INDEX,C5TCM V26,105.0,48782.0,5122110.0,13.26%,BDRY,2026-09-11
Capesize 5TC FFA 180kt Timecharter Average M Nov 26,C5TCM X26 INDEX,C5TCM X26,105.0,45739.0,4802595.0,12.43%,BDRY,2026-09-11
Capesize 5TC FFA 180kt Timecharter Average M Dec 26,C5TCM Z26 INDEX,C5TCM Z26,105.0,43525.0,4570125.0,11.83%,BDRY,2026-09-11
Panamax 5TC FFA 82kt Timecharter Average M Sep 26,P5TCM U26 INDEX,P5TCM U26,205.0,22064.0,4523120.0,11.71%,BDRY,2026-09-11
Panamax 5TC FFA 82kt Timecharter Average M Oct 26,P5TCM V26 INDEX,P5TCM V26,170.0,23554.0,4004180.0,10.36%,BDRY,2026-09-11
Panamax 5TC FFA 82kt Timecharter Average M Nov 26,P5TCM X26 INDEX,P5TCM X26,170.0,22993.0,3908810.0,10.12%,BDRY,2026-09-11
Panamax 5TC FFA 82kt Timecharter Average M Dec 26,P5TCM Z26 INDEX,P5TCM Z26,170.0,21918.0,3726060.0,9.64%,BDRY,2026-09-11
Supramax 58 TC FFA 58kt Timecharter Average M Sep 26,S58FM U26 INDEX,S58FM U26,55.0,19811.0,1089605.0,2.82%,BDRY,2026-09-11
Supramax 58 TC FFA 58kt Timecharter Average M Oct 26,S58FM V26 INDEX,S58FM V26,40.0,21539.0,861560.0,2.23%,BDRY,2026-09-11
Supramax 58 TC FFA 58kt Timecharter Average M Nov 26,S58FM X26 INDEX,S58FM X26,40.0,21293.0,851720.0,2.20%,BDRY,2026-09-11
Supramax 58 TC FFA 58kt Timecharter Average M Dec 26,S58FM Z26 INDEX,S58FM Z26,40.0,20371.0,814840.0,2.11%,BDRY,2026-09-11
Cash & Other,Cash&Other,Cash&Other,29424182.74,1.0,29424182.74,76.15%,BDRY,2026-09-11
Invesco Government & Agency Portfolio 12/31/2031,AGPXX,825252885,84359815.84,100.0,84359815.84,36.46%,BWET,2026-09-11
TD20 FFA 130kt West Africa to Continent USD/MT M Sep 26,DD20M U26 INDEX,DD20M U26,65.0,56.646,3681990.0,1.59%,BWET,2026-09-11
TD20 FFA 130kt West Africa to Continent USD/MT M Oct 26,DD20M V26 INDEX,DD20M V26,115.0,65.36,7516400.0,3.25%,BWET,2026-09-11
TD20 FFA 130kt West Africa to Continent USD/MT M Nov 26,DD20M X26 INDEX,DD20M X26,115.0,59.307,6820305.0,2.95%,BWET,2026-09-11
TD20 FFA 130kt West Africa to Continent USD/MT M Dec 26,DD20M Z26 INDEX,DD20M Z26,115.0,53.418,6143070.0,2.66%,BWET,2026-09-11
TD3C FFA 270kt Middle East Gulf to China USD/MT M Sep 26,DD3CM U26 INDEX,DD3CM U26,220.0,159.054,34991880.0,15.13%,BWET,2026-09-11
TD3C FFA 270kt Middle East Gulf to China USD/MT M Oct 26,DD3CM V26 INDEX,DD3CM V26,372.0,173.679,64608588.0,27.93%,BWET,2026-09-11
TD3C FFA 270kt Middle East Gulf to China USD/MT M Nov 26,DD3CM X26 INDEX,DD3CM X26,327.0,164.116,53665932.0,23.20%,BWET,2026-09-11
TD3C FFA 270kt Middle East Gulf to China USD/MT M Dec 26,DD3CM Z26 INDEX,DD3CM Z26,317.0,159.374,50521558.0,21.84%,BWET,2026-09-11
Cash & Other,Cash&Other,Cash&Other,146947212.49,1.0,146947212.49,63.52%,BWET,2026-09-11
