fund,period_ended,source_url,local_file_path,sha256_checksum,file_size_bytes,opening_nav_dollars,sales_of_shares_dollars,redemptions_of_shares_dollars,net_share_activity_dollars,interest_income_dollars,sponsor_fee_dollars,cta_fee_dollars,brokerage_commissions_dollars,admin_custody_fees_dollars,total_expenses_dollars,cta_fee_waiver_dollars,expenses_absorbed_dollars,net_expenses_dollars,net_investment_income_dollars,realized_futures_pnl_dollars,unrealized_futures_pnl_delta_dollars,net_futures_pnl_dollars,net_income_loss_dollars,closing_nav_dollars,shares_outstanding,nav_per_share,balance_identity_err_dollars,balance_identity_valid,share_identity_err_dollars,share_identity_valid
BWET,March-2024,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_March-2024.pdf,data/cftc_statements/raw_pdf/BWET\BWET_March-2024.pdf,b9204801ab416de1fe3f916c8acee0041ce297b3bd2f370ba89ab9e40abb8c41,48705,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,March-2025,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_March-2025.pdf,data/cftc_statements/raw_pdf/BWET\BWET_March-2025.pdf,bd5ca6e990a6c577d69827a4ff3a15bd7b19163facb283349b13423401850b9e,32005,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,"March  31, 2026",https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_March-2026.pdf,data/cftc_statements/raw_pdf/BWET\BWET_March-2026.pdf,cec98674656fb50db41cde5ed73bd5b5d6206543144becf680d595c6f043988b,76302,22815680.0,27260007.0,-11355371.0,15904636.0,52188.0,4247.0,29935.0,15173.0,5350.0,88779.0,-1349.0,0.0,87430.0,-35242.0,7157813.0,11045912.0,18203725.0,18168483.0,56888799.0,475100.0,119.74,0.0,True,0.0007,True
BWET,May-2023,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_May-2023.pdf,data/cftc_statements/raw_pdf/BWET\BWET_May-2023.pdf,49ebbe74e8f189043c0587c15b17eb578c75f140f30f46e886e2b6ec591f8435,249671,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,May-2024,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_May-2024.pdf,data/cftc_statements/raw_pdf/BWET\BWET_May-2024.pdf,05371373bc8ed164b5fdc7ecd0cea38cbc91087b4052fc2502148ab3e745c5bb,33163,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,May-2025,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_May-2025.pdf,data/cftc_statements/raw_pdf/BWET\BWET_May-2025.pdf,030619ff45631db0728b0d465d3804a3b253b57603e0785b155075a807e1fda5,44907,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,"May 31, 2026",https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_May-2026.pdf,data/cftc_statements/raw_pdf/BWET\BWET_May-2026.pdf,6deb781b76d8664e89b18a84e1ab1f5cdb16fbb73bccf90f3772f3df6d88e35c,111824,38279422.0,11991152.0,-25694749.0,-13703597.0,96698.0,5470.0,54810.0,28686.0,5394.0,131029.0,29956.0,0.0,160985.0,-64287.0,6286068.0,-6883694.0,-597626.0,-661913.0,23913912.0,150100.0,159.32,0.0,True,-0.0001,True
BWET,November-2023,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_November-2023.pdf,data/cftc_statements/raw_pdf/BWET\BWET_November-2023.pdf,c5bba8473b3002650c71cab493ff16317d7b820a7d6c6557232a2304f6f6dc07,22732,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,November-2024,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_November-2024.pdf,data/cftc_statements/raw_pdf/BWET\BWET_November-2024.pdf,be7fee086ad4b6496722c94e3634f0d25e53c13a509756c869b43f5b2af6cb56,83083,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,"November 30, 2025",https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_November-2025.pdf,data/cftc_statements/raw_pdf/BWET\BWET_November-2025.pdf,04a10169ca6f1d721a304c8cf11b4d142134f4b367c29077215dcc7e295ece13,111276,3207735.0,516665.0,-1526028.0,-1009363.0,8487.0,4110.0,3735.0,2707.0,5160.0,48348.0,-3735.0,-32889.0,11724.0,-3237.0,736574.0,-89291.0,647283.0,644046.0,2842418.0,125100.0,22.72,0.0,True,0.0012,True
BWET,October-2023,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_October-2023.pdf,data/cftc_statements/raw_pdf/BWET\BWET_October-2023.pdf,76a6b3b29145452a99a74acb9be374e2260a3e1f9086e01fbe15aaa4b41bae55,2077927,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,October-2024,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_October-2024.pdf,data/cftc_statements/raw_pdf/BWET\BWET_October-2024.pdf,59e92a1faf4b6c26096ab427ed6b214da13bcb95a1caa27163ae1965625ba25a,74984,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,"October 31, 2025",https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_October-2025.pdf,data/cftc_statements/raw_pdf/BWET\BWET_October-2025.pdf,219742db1367846de1c6b49dc536154fe5a4711e2eeade412317f45c5ec8b055,111593,1831951.0,818585.0,0.0,818585.0,6056.0,4247.0,2673.0,3759.0,5332.0,49079.0,-2673.0,-36196.0,10210.0,-4154.0,176422.0,384931.0,561353.0,557199.0,3207735.0,175100.0,18.32,0.0,True,-0.0006,True
BWET,September-2023,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_September-2023.pdf,data/cftc_statements/raw_pdf/BWET\BWET_September-2023.pdf,1ea8e655450857898e953a98cb2c39e04ba43b7e87f41ca6ee31e923ad5d3542,257525,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,September-2024,https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_September-2024.pdf,data/cftc_statements/raw_pdf/BWET\BWET_September-2024.pdf,eb2e923a929ac68328c3ba685974a4dcd7ead022c57c097c2ca472c2ae8488a8,32176,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BWET,"September 30, 2025",https://amplifyetfs.com/wp-content/uploads/files/BWET/Account_Statements/BWET_September-2025.pdf,data/cftc_statements/raw_pdf/BWET\BWET_September-2025.pdf,d2856afefff79083a58f1682593960dd747539c46be159c373fdbf5fd3475c2d,111918,1594049.0,0.0,0.0,0.0,4027.0,4110.0,2157.0,2178.0,5160.0,38097.0,-2157.0,-28556.0,7384.0,-3357.0,268338.0,-27079.0,241259.0,237902.0,1831951.0,125100.0,14.64,0.0,True,0.0039,True
