fund,period_ended,source_url,local_file_path,sha256_checksum,file_size_bytes,opening_nav_dollars,sales_of_shares_dollars,redemptions_of_shares_dollars,net_share_activity_dollars,interest_income_dollars,sponsor_fee_dollars,cta_fee_dollars,brokerage_commissions_dollars,admin_custody_fees_dollars,total_expenses_dollars,cta_fee_waiver_dollars,expenses_absorbed_dollars,net_expenses_dollars,net_investment_income_dollars,realized_futures_pnl_dollars,unrealized_futures_pnl_delta_dollars,net_futures_pnl_dollars,net_income_loss_dollars,closing_nav_dollars,shares_outstanding,nav_per_share,balance_identity_err_dollars,balance_identity_valid,share_identity_err_dollars,share_identity_valid
BDRY,March-2018,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_March-2018.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_March-2018.pdf,159b92eff74d478fd056f3e43c550c6b25eed03915f8edb3e63826841858f61f,3644363,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BDRY,April-2018,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_April-2018.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_April-2018.pdf,1bf685e84a94c181d27c9dd848cc475f619faf82a1fb2aafa0062a02048cda40,30536,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BDRY,May-2018,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_May-2018.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_May-2018.pdf,44907fcbdaca6a891774207edc55c4daad834a431a2cc750210edaf130b13da6,26335,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BDRY,June-2018,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_June-2018.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_June-2018.pdf,18d3416fbe5b585b705561cff255c3f2ec27450daf2a25a2357dda3d0d177881,26054,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BDRY,July-2018,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_July-2018.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_July-2018.pdf,087a08835e5f7ab03bde743e7e3326b0967783d30474061679406793dfa3e397,29107,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BDRY,August-2018,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_August-2018.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_August-2018.pdf,745c8bcae9e384877d1470249b489fd99ebf40c09f1d2268f21361a95e33be4e,29444,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BDRY,September-2018,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_September-2018.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_September-2018.pdf,04ce0b61a8e347e14aa36381369a4b9d0797ac6345e44b3b02417c255a384167,30428,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BDRY,October-2018,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_October-2018.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_October-2018.pdf,b8ff41890fdc46d57e3703989a918e83c54f0ab2282b9e2aca0ae3da97ab178d,39304,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BDRY,November-2018,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_November-2018.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_November-2018.pdf,bf6c2bd93bede42b2b7612a4d70eb1c97c02085311d8636399d49f3fd61f0b03,453170,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BDRY,December-2018,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_December-2018.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_December-2018.pdf,af486e2fd6e48091ae5d4db3b7ff742c57278b94815010074f6c92aa58d65a6a,260977,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
BDRY,January-2019,https://amplifyetfs.com/wp-content/uploads/files/BDRY/Account_Statements/BDRY_January-2019.pdf,data/cftc_statements/raw_pdf/BDRY\BDRY_January-2019.pdf,fe8bb9db382da317eb762bd2a143c815a4c42438be595dd3b7ba40b0ace02b03,30062,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,,False
