fund,filename,filesize,char_count,is_digital_text,has_nav_tokens
BDRY,BDRY_April-2018.pdf,30536,0,False,False
BDRY,BDRY_April-2019.pdf,26835,0,False,False
BDRY,BDRY_April-2020.pdf,465688,0,False,False
BDRY,BDRY_April-2021.pdf,447912,0,False,False
BDRY,BDRY_April-2022.pdf,248074,0,False,False
BDRY,BDRY_April-2023.pdf,249323,0,False,False
BDRY,BDRY_April-2024.pdf,50654,0,False,False
BDRY,BDRY_April-2025.pdf,80962,0,False,False
BDRY,BDRY_April-2026.pdf,76209,2464,True,True
BDRY,BDRY_August-2018.pdf,29444,0,False,False
BDRY,BDRY_August-2019.pdf,271689,0,False,False
BDRY,BDRY_August-2020.pdf,451335,0,False,False
BDRY,BDRY_August-2021.pdf,445734,0,False,False
BDRY,BDRY_August-2022.pdf,24740,0,False,False
BDRY,BDRY_August-2023.pdf,250119,0,False,False
BDRY,BDRY_August-2024.pdf,33386,0,False,False
BDRY,BDRY_August-2025.pdf,111751,2476,True,True
BDRY,BDRY_December-2018.pdf,260977,0,False,False
BDRY,BDRY_December-2019.pdf,264524,0,False,False
BDRY,BDRY_December-2020.pdf,443077,0,False,False
BDRY,BDRY_December-2021.pdf,39724,0,False,False
BDRY,BDRY_December-2022.pdf,254322,0,False,False
BDRY,BDRY_December-2023.pdf,2354119,0,False,False
BDRY,BDRY_December-2024.pdf,77706,0,False,False
BDRY,BDRY_December-2025.pdf,111379,2485,True,True
BDRY,BDRY_February-2019.pdf,258096,0,False,False
BDRY,BDRY_February-2020.pdf,463346,0,False,False
BDRY,BDRY_February-2021.pdf,431934,0,False,False
BDRY,BDRY_February-2022.pdf,253063,0,False,False
BDRY,BDRY_February-2023.pdf,256468,0,False,False
BDRY,BDRY_February-2024.pdf,45555,0,False,False
BDRY,BDRY_February-2025.pdf,111860,2515,True,True
BDRY,BDRY_February-2026.pdf,111804,2481,True,True
BDRY,BDRY_January-2019.pdf,30062,0,False,False
BDRY,BDRY_January-2020.pdf,477604,0,False,False
BDRY,BDRY_January-2021.pdf,449010,0,False,False
BDRY,BDRY_January-2022.pdf,259590,0,False,False
BDRY,BDRY_January-2023.pdf,255358,0,False,False
BDRY,BDRY_January-2024.pdf,2229542,0,False,False
BDRY,BDRY_January-2025.pdf,83059,0,False,False
BDRY,BDRY_January-2026.pdf,111675,2474,True,True
BDRY,BDRY_July-2018.pdf,29107,0,False,False
BDRY,BDRY_July-2019.pdf,260608,0,False,False
BDRY,BDRY_July-2020.pdf,463751,0,False,False
BDRY,BDRY_July-2021.pdf,431833,0,False,False
BDRY,BDRY_July-2022.pdf,252815,0,False,False
BDRY,BDRY_July-2023.pdf,250315,0,False,False
BDRY,BDRY_July-2024.pdf,33115,0,False,False
BDRY,BDRY_July-2025.pdf,111799,2472,True,True
BDRY,BDRY_June-2018.pdf,26054,0,False,False
BDRY,BDRY_June-2019.pdf,23527,0,False,False
BDRY,BDRY_June-2020.pdf,458259,0,False,False
BDRY,BDRY_June-2021.pdf,448894,0,False,False
BDRY,BDRY_June-2022.pdf,250242,0,False,False
BDRY,BDRY_June-2023.pdf,24829,0,False,False
BDRY,BDRY_June-2024.pdf,32758,0,False,False
